scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Ardea cinerea cinerea,Animalia,HERONS_ARDEIDAE,Grey Heron ssp cinerea,,1,7.5088,9.0783,Africa,Nigeria,NG,,Nigeria - Bwari,2015-02-07,16:14
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,6.748,7.8102,Africa,Nigeria,NG,,Nigeria - Lokoja,2014-11-24,09:35
Pycnonotus barbatus,Animalia,BULBULS_PYCNONOTIDAE,Common Bulbul,,2,7.5118,9.0776,Africa,Nigeria,NG,,Nigeria - Bwari,2014-11-22,17:19
Tetrathemis polleni,Animalia,SKIMMERS_LIBELLULIDAE,Black-splashed Elf,,1,7.49838352203,9.06989032451,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Falco alopex,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Fox Kestrel,,6,7.50250339508,9.06959367304,Africa,Nigeria,NG,,Nigeria - Bwari,2014-02-18,
Palpopleura portia,Animalia,SKIMMERS_LIBELLULIDAE,Portia Widow,,1,7.49868392944,9.07090741341,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Trithemis annulata,Animalia,SKIMMERS_LIBELLULIDAE,Violet Dropwing,,1,7.49868392944,9.07090741341,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Tetrathemis polleni,Animalia,SKIMMERS_LIBELLULIDAE,Black-splashed Elf,,5,7.49915599823,9.0707378988,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Trithemis arteriosa,Animalia,SKIMMERS_LIBELLULIDAE,Red-veined Dropwing,,1,7.49834060669,9.07107692795,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Ceriagrion glabrum,Animalia,POND_DAMSELS_COENAGRIONIDAE,Common Orange,,1,7.49834060669,9.07107692795,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
Halcyon leucocephala,Animalia,KINGFISHERS_ALCEDINIDAE,Grey-headed Kingfisher,,1,7.49834060669,9.07107692795,Africa,Nigeria,NG,,Nigeria - Abuja Municipal,2014-02-18,
