scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Eutamias sibiricus,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Siberian Chipmunk,,1,125.75214386,39.0300925,Asia,North Korea,KP,,North Korea,2009-05-29,
Passer montanus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,1,126.09927177,38.44495106,Asia,North Korea,KP,,North Korea,2016-03-16,
Aegypius monachus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Cinereous Vulture,,1,126.09927177,38.44495106,Asia,North Korea,KP,,North Korea,2016-03-16,
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,126.09927177,38.44495106,Asia,North Korea,KP,,North Korea,2016-03-16,
Hypsipetes amaurotis,Animalia,BULBULS_PYCNONOTIDAE,Brown-eared Bulbul,,1,126.29772875,38.33892968,Asia,North Korea,KP,,North Korea,2016-03-16,
Pica serica anderssoni,Animalia,CROWS_AND_JAYS_CORVIDAE,Oriental Magpie ssp anderssoni,,25,125.76021239,39.01221426,Asia,North Korea,KP,,North Korea,2016-03-15,
Nycticorax nycticorax,Animalia,HERONS_ARDEIDAE,Black-crowned Night Heron,,1,126.60044623,37.94028795,Asia,North Korea,KP,,North Korea,2016-03-16,
Motacilla alba,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,,1,126.65543054,37.91362914,Asia,North Korea,KP,,North Korea,2009-05-26,
Ardea alba,Animalia,HERONS_ARDEIDAE,Great Egret,,1,125.69829891,39.15712222,Asia,North Korea,KP,,North Korea,2009-05-30,
Hypsipetes amaurotis,Animalia,BULBULS_PYCNONOTIDAE,Brown-eared Bulbul,,1,125.75775142,39.03565561,Asia,North Korea,KP,,North Korea,2009-05-29,
Poecile palustris,Animalia,TITS_PARIDAE,Marsh Tit,,1,126.77506853699592,40.33860397338867,Asia,North Korea,KP,,North Korea,2009-05-28,
Xenus cinereus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Terek Sandpiper,,1,126.84174499,39.19347993,Asia,North Korea,KP,,North Korea,2009-05-27,
Motacilla cinerea,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Grey Wagtail,,1,126.84174499,39.19347993,Asia,North Korea,KP,,North Korea,2009-05-27,
Garrulus glandarius,Animalia,CROWS_AND_JAYS_CORVIDAE,Eurasian Jay,,1,126.84174499,39.19347993,Asia,North Korea,KP,,North Korea,2009-05-27,
Pica serica anderssoni,Animalia,CROWS_AND_JAYS_CORVIDAE,Oriental Magpie ssp anderssoni,,2,125.74447857,39.01408878,Asia,North Korea,KP,,North Korea,2009-05-27,
Motacilla cinerea,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Grey Wagtail,,2,126.62461309,37.93827059,Asia,North Korea,KP,,North Korea,2009-05-26,
Hirundo rustica,Animalia,SWALLOWS_HIRUNDINIDAE,Barn Swallow,,2,126.62461309,37.93827059,Asia,North Korea,KP,,North Korea,2009-05-26,
Falco tinnunculus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Common Kestrel,,1,126.34963987,38.00506346,Asia,North Korea,KP,,North Korea,2009-05-25,
Chloris sinica,Animalia,FINCHES_FRINGILLIDAE,Grey-capped Greenfinch,,1,125.36436021,37.91555493,Asia,North Korea,KP,,North Korea,2009-05-24,
Hypsipetes amaurotis,Animalia,BULBULS_PYCNONOTIDAE,Brown-eared Bulbul,,1,125.33939207,38.99690209,Asia,North Korea,KP,,North Korea,2009-05-24,
