scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Aquila chrysaetos,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Golden Eagle,,1,74.86393,36.443761666667,Asia,Pakistan,PK,,Pakistan - Northern Areas,2018-02-02,13:48
Eremophila alpestris,Animalia,LARKS_ALAUDIDAE,Horned Lark,,1,74.69255,36.321593333333,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-03-26,16:48
Gypaetus barbatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bearded Vulture,,1,75.402151666667,36.844881666667,Asia,Pakistan,PK,,Pakistan - Khunjerab NP,2019-06-15,11:03
Tetraogallus tibetanus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Tibetan Snowcock,,1,75.395805,36.848383333333,Asia,Pakistan,PK,,Pakistan - Central Karakoram NP,2019-06-15,12:16
Gyps himalayensis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Himalayan Vulture,,1,75.40709,36.843648333333,Asia,Pakistan,PK,,Pakistan - Khunjerab NP,2019-06-15,10:27
Phoenicurus frontalis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Blue-fronted Redstart,,1,74.863281666667,36.438231666667,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-06-25,10:08
Oriolus kundoo,Animalia,ORIOLES_AND_FIG_BIRDS_ORIOLIDAE,Indian Golden Oriole,,1,74.611455,36.304021666667,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-06-29,05:32
Cinclus cinclus,Animalia,DIPPERS_CINCLIDAE,White-throated Dipper,,1,75.458435,35.053778333333,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-07-13,16:31
Charadrius mongolus,Animalia,PLOVERS_CHARADRIIDAE,Lesser Sand Plover,,1,75.453638333333,35.054265,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-07-14,07:29
Calliope pectoralis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Himalayan Rubythroat,,1,75.456976666667,35.053885,Asia,Pakistan,PK,,Pakistan - Northern Areas,2019-07-14,08:04
Carpodacus grandis,Animalia,FINCHES_FRINGILLIDAE,Blyth's Rosefinch,,1,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,
Periparus rufonuchalis,Animalia,TITS_PARIDAE,Rufous-naped Tit,,1,73.493,34.621,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,06:00
Pericrocotus ethologus,Animalia,CUCKOOSHRIKES_CAMPEPHAGIDAE,Long-tailed Minivet,,1,73.493,34.621,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,06:00
Mycerobas icterioides,Animalia,FINCHES_FRINGILLIDAE,Black-and-yellow Grosbeak,,1,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,
Carpodacus grandis,Animalia,FINCHES_FRINGILLIDAE,Blyth's Rosefinch,,1,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-28,
Prunella strophiata,Animalia,ACCENTORS_PRUNELLIDAE,Rufous-breasted Accentor,,1,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,
Calliope pectoralis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Himalayan Rubythroat,,7,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-28,
Phylloscopus trochiloides,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Greenish Warbler,,1,73.484,34.601,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-27,
Carpodacus rodochroa,Animalia,FINCHES_FRINGILLIDAE,Pink-browed Rosefinch,,1,73.485,34.614,Asia,Pakistan,PK,,Pakistan - Hazara,2018-06-26,08:00
