scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Todiramphus tristrami stresemanni,Animalia,KINGFISHERS_ALCEDINIDAE,Melanesian Kingfisher ssp stresemanni,,1,147.062988281,-5.36856147777,Asia,Papua New Guinea,PG,,Papua New Guinea,2014-06-17,
Egretta sacra,Animalia,HERONS_ARDEIDAE,Pacific Reef Heron,,1,147.037582397,-5.37813227167,Asia,Papua New Guinea,PG,,Papua New Guinea,2014-06-17,
Haliaeetus leucogaster,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,White-bellied Sea Eagle,,1,147.041015625,-5.37334689352,Asia,Papua New Guinea,PG,,Papua New Guinea,2014-06-13,
Orthetrum serapia,Animalia,SKIMMERS_LIBELLULIDAE,Green Skimmer,,1,147.078094482,-5.36445966295,Asia,Papua New Guinea,PG,,Papua New Guinea,2014-06-09,
Todiramphus sordidus sordidus,Animalia,KINGFISHERS_ALCEDINIDAE,Torresian Kingfisher ssp sordidus,,1,147.367629998,-9.44890378581,Asia,Papua New Guinea,PG,,Papua New Guinea - Varirata NP,2013-10-22,
Drymodes beccarii brevirostris,Animalia,AUSTRALASIAN_ROBINS_PETROICIDAE,,,1,147.370719903,-9.45515773448,Asia,Papua New Guinea,PG,,Papua New Guinea - Varirata NP,2013-10-22,
Edolisoma melas,Animalia,CUCKOOSHRIKES_CAMPEPHAGIDAE,Black Cicadabird,,1,147.362823458,-9.44797809454,Asia,Papua New Guinea,PG,,Papua New Guinea - Varirata NP,2013-10-22,
Paradisaea raggiana,Animalia,BIRDSOFPARADISE_PARADISAEIDAE,Raggiana Bird-of-paradise,,3,147.362823458,-9.44797809454,Asia,Papua New Guinea,PG,,Papua New Guinea - Varirata NP,2013-10-22,
Protorthemis coronata,Animalia,SKIMMERS_LIBELLULIDAE,,,1,145.77140808105,-5.2502814938897,Asia,Papua New Guinea,PG,,Papua New Guinea,2013-01-12,
Orthetrum serapia,Animalia,SKIMMERS_LIBELLULIDAE,Green Skimmer,,1,145.77140808,-5.25028149,Asia,Papua New Guinea,PG,,Papua New Guinea,2013-01-12,
Trithemis festiva,Animalia,SKIMMERS_LIBELLULIDAE,Indigo Dropwing,,1,145.89706421,-6.33543127,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-12-27,
Ischnura acuticauda,Animalia,POND_DAMSELS_COENAGRIONIDAE,,,2,145.10604858,-5.81070757,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-06-04,
Lyriothemis meyeri,Animalia,SKIMMERS_LIBELLULIDAE,,,1,145.71925545,-5.21384739,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-08-18,
Rhyticeros plicatus,Animalia,HORNBILLS_BUCEROTIDAE,Blyth's Hornbill,,1,148.633636474,-5.50294340963,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-07-21,
Corvus tristis,Animalia,CROWS_AND_JAYS_CORVIDAE,Grey Crow,,1,146.783813476,-6.23925938081,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-23,
Lorius lory,Animalia,PSITTACULIDAE,Black-capped Lory,,1,146.804412841,-6.23925938081,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-25,
Philemon novaeguineae,Animalia,HONEYEATERS_MELIPHAGIDAE,New Guinea Friarbird,,1,146.793426513,-6.24471997892,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-22,
Dugong dugon,Animalia,DUGONGS_DUGONGIDAE,Dugong,,2,145.808111667,-5.07950829754,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-13,
Bubulcus coromandus,Animalia,HERONS_ARDEIDAE,Eastern Cattle Egret,,1,147.200242519,-9.48576144027,Asia,Papua New Guinea,PG,,Papua New Guinea - Paga Hill National Park Scenic Reserve NP,2012-05-02,
Dendrocygna guttata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spotted Whistling Duck,,1,145.81094408,-5.21536457701,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-13,
Hirundo tahitica,Animalia,SWALLOWS_HIRUNDINIDAE,Pacific Swallow,,1,145.896495819,-6.34231851693,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-05,
Lonchura spectabilis,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Hooded Mannikin,,1,145.896495819,-6.34231851693,Asia,Papua New Guinea,PG,,Papua New Guinea,2012-05-05,
Eurystomus orientalis,Animalia,ROLLERS_CORACIIDAE,Oriental Dollarbird,,1,146.81299591,-6.59066714272,Asia,Papua New Guinea,PG,,Papua New Guinea,2011-01-16,
Mino dumontii,Animalia,STARLINGS_STURNIDAE,Yellow-faced Myna,,1,146.81299591,-6.59066714272,Asia,Papua New Guinea,PG,,Papua New Guinea,2011-01-14,
