scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Rhea americana,Animalia,RHEIDAE_RHEAS,Greater Rhea,,1,-56.290050745,-23.7693215618,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-15,
Sapajus cay,Animalia,NEW_WORLD_MONKEYS_CEBIDAE,Azaras’s Capuchin,,1,-56.2907373905,-23.8173853689,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-15,
Piaya cayana,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Squirrel Cuckoo,,1,-56.292797327,-23.8092189171,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-12,
Neothraupis fasciata,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Shrike-like Tanager,,1,-56.2917673588,-23.7957117352,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-12,
Cariama cristata,Animalia,SERIEMAS_CARIAMIDAE,Red-legged Seriema,,1,-56.2917673588,-23.7957117352,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-12,
Falco sparverius,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,American Kestrel,,1,-56.2917673588,-23.7957117352,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-10,
Columbina squammata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Scaled Dove,,1,-56.2917673588,-23.8111035285,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-09,
Ramphastos toco,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Toco Toucan,,1,-56.2917673588,-23.8111035285,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2011-01-04,
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,1,-56.2941099683,-23.8112875818,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2010-12-30,
Guira guira,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Guira Cuckoo,,1,-56.2941099683,-23.8112875818,South America,Paraguay,PY,,Paraguay - Laguna Blanca,2010-12-28,
