scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-66.0498544,18.4026684,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-08,16:02
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,1,-66.0551531,18.407199,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-08,16:14
Tiaris bicolor,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Black-faced Grassquit,,2,-66.0528007149696,18.4082119198436,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-08,17:06
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,1,-66.0494046,18.4018279,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,08:35
Zenaida asiatica,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,White-winged Dove,,1,-66.0493597,18.4019092,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,08:35
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,5,-66.0493597,18.4019092,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,08:35
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,10,-66.0493597,18.4019092,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,08:35
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.0493597,18.4019092,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,08:35
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,2,-66.0500330105424,18.4016998740989,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2015-03-05,12:58
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,10,-66.04105333,18.38378892,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-10-18,07:34
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,10,-66.04105333,18.38378892,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-10-18,07:34
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,1,-66.04105333,18.38378892,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-10-18,07:34
Chlorostilbon maugaeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Puerto Rican Emerald,,1,-66.08175317,18.12200321,North America,Puerto Rico,PR,,Puerto Rico - Cayey,2014-10-25,07:37
Euphonia musica,Animalia,FINCHES_FRINGILLIDAE,Antillean Euphonia,,2,-66.08175334,18.12199876,North America,Puerto Rico,PR,,Puerto Rico - Cayey,2014-10-25,07:48
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,15,-66.13272835,18.40506985,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,07:42
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,15,-66.13272835,18.40506985,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,07:42
Anthracothorax dominicus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Mango,,1,-66.14004259,18.40724612,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,08:53
Coccyzus minor,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Mangrove Cuckoo,,1,-66.14002494,18.40722382,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,08:53
Anthracothorax dominicus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Mango,,1,-66.14113506,18.40603717,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,11:59
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-66.14011438,18.40449315,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,12:23
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,29,-66.13761373,18.40816356,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,14:13
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,10,-66.13763262,18.40826534,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,14:13
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,22,-66.13747764,18.40833151,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-11,14:13
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,4,-66.13255117,18.40479272,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-05,08:25
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,3,-66.13255113,18.40479271,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-05,08:25
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,3,-66.13255155,18.40479345,North America,Puerto Rico,PR,,Puerto Rico - Bayamón,2014-10-05,08:25
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,93,-66.2432098528,18.4509304002,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2014-09-21,
Pluvialis dominica,Animalia,PLOVERS_CHARADRIIDAE,American Golden Plover,,1,-66.2432098528,18.4509304002,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2014-09-21,
Pandion haliaetus ridgwayi,Animalia,OSPREY_PANDIONIDAE,Western Osprey ssp ridgwayi,,1,-66.5882134439,18.4762300382,North America,Puerto Rico,PR,,Puerto Rico - Barceloneta,2014-09-07,
Calidris minutilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Least Sandpiper,,10,-66.243724816,18.4486669551,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2014-09-07,
Eudocimus albus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,American White Ibis,,2,-66.55398567,18.48021041,North America,Puerto Rico,PR,,Puerto Rico - Barceloneta,2014-09-06,07:00
Ammodramus savannarum,Animalia,PASSERELLIDAE,Grasshopper Sparrow,,5,-66.58718791,18.4779319,North America,Puerto Rico,PR,,Puerto Rico - Barceloneta,2014-09-06,09:46
Numenius hudsonicus hudsonicus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Hudsonian Whimbrel ssp hudsonicus,,1,-66.58761656,18.47660049,North America,Puerto Rico,PR,,Puerto Rico - Barceloneta,2014-09-06,10:29
Eudocimus albus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,American White Ibis,,1,-66.53522183,18.4799884,North America,Puerto Rico,PR,,Puerto Rico - Barceloneta,2014-09-06,11:11
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,10,-66.243724816,18.4486669551,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2014-09-07,
Calidris minutilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Least Sandpiper,,1,-66.2446975725,18.4507594256,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2014-08-31,
Clathrus ruber,Fungi,PHALLACEAE,,,3,-66.0503983499,18.4054125869,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-09-01,
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.00645026,18.43863027,North America,Puerto Rico,PR,,Puerto Rico - Carolina,2014-08-13,04:28
Ardenna gravis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Great Shearwater,,1,-67.41184738,18.01317998,North America,Puerto Rico,PR,,Puerto Rico,2014-06-15,09:05
Ardenna gravis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Great Shearwater,,2,-67.3635319,17.96850132,North America,Puerto Rico,PR,,Puerto Rico,2014-06-15,09:55
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-66.09031889,18.46697407,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-06-14,12:38
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,2,-66.04934783,18.40173249,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-10,16:58
Zenaida asiatica,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,White-winged Dove,,4,-66.05101434,18.40594907,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-11,16:55
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,1,-66.05107995,18.4059598,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-11,16:55
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,1,-66.0511144,18.40596297,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-11,16:55
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,1,-66.05120824,18.40596265,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-11,16:55
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-66.05201484,18.4063415,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-11,17:14
Tiaris bicolor,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Black-faced Grassquit,,3,-66.05656349,18.40750141,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-24,12:17
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,20,-66.0527257,18.40283162,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-09,23:18
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-66.0527257,18.40283162,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-09,23:18
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.0527257,18.40283162,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-09,23:19
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,1,-66.0527257,18.40283162,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-09,23:19
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,1,-66.0527257,18.40283162,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-10,10:41
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.0495242,18.4017424,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-02,13:56
Anthracothorax dominicus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Mango,,1,-66.05116079,18.40361044,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-03,19:28
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.05123669,18.40369854,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-03,19:28
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,10,-66.05133331,18.40384073,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-03,19:28
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,3,-66.05147549,18.40387807,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-05-03,19:28
Nesospingus speculiferus,Animalia,NESOSPINGIDAE,Puerto Rican Tanager,,1,-65.8157372479,18.3105286054,North America,Puerto Rico,PR,,Puerto Rico - Río Grande,2014-03-31,
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,1,-66.04973305,18.40172885,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-03-25,18:06
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-66.041082,18.40725,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-03-29,17:33
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-66.0441081,18.40815,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-03-29,17:33
Tiaris bicolor,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Black-faced Grassquit,,2,-66.0441081,18.40815,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-03-29,17:36
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,3,-66.0441081,18.40815,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2014-03-29,17:36
Phoenicopterus ruber,Animalia,FLAMINGOS_PHOENICOPTERIDAE,American Flamingo,,1,-66.8883132917,18.482599305,North America,Puerto Rico,PR,,Puerto Rico - Camuy,2013-11-11,
Spindalis portoricensis,Animalia,SPINDALIDAE,Puerto Rican Spindalis,,11,-66.5307712559,18.2423327143,North America,Puerto Rico,PR,,Puerto Rico - Ciales,2013-11-11,
Myiarchus antillarum,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Puerto Rican Flycatcher,,1,-66.5307712559,18.2423327143,North America,Puerto Rico,PR,,Puerto Rico - Ciales,2013-11-11,
Euphonia musica,Animalia,FINCHES_FRINGILLIDAE,Antillean Euphonia,,2,-66.531052,18.243187,North America,Puerto Rico,PR,,Puerto Rico - Ciales,2013-11-09,16:31
Nesospingus speculiferus,Animalia,NESOSPINGIDAE,Puerto Rican Tanager,,1,-65.79478,18.292054,North America,Puerto Rico,PR,,Puerto Rico - Río Grande,2013-11-03,08:52
Setophaga angelae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Elfin Woods Warbler,,2,-65.793973,18.292762,North America,Puerto Rico,PR,,Puerto Rico - Naguabo,2013-11-03,09:04
Setophaga angelae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Elfin Woods Warbler,,2,-65.793658,18.293733,North America,Puerto Rico,PR,,Puerto Rico - Naguabo,2013-11-03,09:28
Nesospingus speculiferus,Animalia,NESOSPINGIDAE,Puerto Rican Tanager,,3,-65.793658,18.293733,North America,Puerto Rico,PR,,Puerto Rico - Naguabo,2013-11-03,09:28
Nesospingus speculiferus,Animalia,NESOSPINGIDAE,Puerto Rican Tanager,,3,-65.790643,18.286202,North America,Puerto Rico,PR,,Puerto Rico - Naguabo,2013-11-03,10:45
Setophaga angelae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Elfin Woods Warbler,,1,-65.790643,18.286202,North America,Puerto Rico,PR,,Puerto Rico - Naguabo,2013-11-03,10:45
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,1,-65.877475,18.437061,North America,Puerto Rico,PR,,Puerto Rico - Loíza,2013-11-03,14:53
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,33,-66.242294312,18.4506481533,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-09-08,
Pluvialis dominica,Animalia,PLOVERS_CHARADRIIDAE,American Golden Plover,,23,-66.242294312,18.4506481533,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-09-08,
Bartramia longicauda,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Upland Sandpiper,,1,-66.242294312,18.4506481533,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-09-08,
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,2,-66.0495829587,18.4016311786,North America,Puerto Rico,PR,,Puerto Rico - San Juan,2013-08-30,
Calidris minutilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Least Sandpiper,,1,-66.2446546559,18.4511000267,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-08-26,
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,8,-66.2446546559,18.4511000267,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-08-26,
Calidris minutilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Least Sandpiper,,100,-66.243209852837,18.449171752188,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-08-19,
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,60,-66.243209852837,18.449171752188,North America,Puerto Rico,PR,,Puerto Rico - Toa Baja,2013-08-19,
Megascops nudipes,Animalia,OWLS_STRIGIDAE,Puerto Rican Screech Owl,,1,-66.875380575657,17.949993592489,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-12,
Dendroica angelae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Elfin-woods Warbler,,5,-66.97837471962,18.122360322627,North America,Puerto Rico,PR,,Puerto Rico - San Germán,2013-04-12,
Dendroica adelaidae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,,,2,-66.89100176096,17.952279860403,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-11,
Megascops nudipes,Animalia,OWLS_STRIGIDAE,Puerto Rican Screech Owl,,1,-66.904820501804,17.960526509749,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-10,
Dendroica adelaidae,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,,,10,-66.876925528049,17.981427184267,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-10,
Melanerpes portoricensis,Animalia,WOODPECKERS_PICIDAE,Puerto Rican Woodpecker,,4,-66.876925528049,17.981427184267,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-10,
Todus mexicanus,Animalia,TODIES_TODIDAE,Puerto Rican Tody,,10,-66.876925528049,17.981427184267,North America,Puerto Rico,PR,,Puerto Rico - Guánica,2013-04-10,
