scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,51.5462243555,25.2914106243,Asia,Qatar,QA,,Qatar - Doha,2015-02-27,05:49
Ichthyaetus ichthyaetus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Pallas's Gull,,7,51.3790369025,26.0278437076,Asia,Qatar,QA,,Qatar - Madinat ash Shamal,2014-02-23,14:30
Spilopelia senegalensis cambayensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp cambayensis,,1,51.6090206802,25.2603380737,Asia,Qatar,QA,,Qatar - Doha,2014-07-14,
Diplacodes lefebvrii,Animalia,SKIMMERS_LIBELLULIDAE,Black Percher,,3,51.3589885086,25.1503542211,Asia,Qatar,QA,,Qatar,2014-02-22,
Crocothemis erythraea,Animalia,SKIMMERS_LIBELLULIDAE,Broad Scarlet,,3,51.3589885086,25.1503542211,Asia,Qatar,QA,,Qatar,2014-02-22,
Felis catus,Animalia,CATS_FELIDAE,Domesticated Cat,,1,51.6045,25.179,Asia,Qatar,QA,,Qatar - Al Wakrah,2014-02-23,23:23
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,51.4705,25.3191,Asia,Qatar,QA,,Qatar - Doha,2014-02-23,12:38
Spilopelia senegalensis cambayensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp cambayensis,,2,51.475,25.2955,Asia,Qatar,QA,,Qatar - Doha,2014-02-23,12:36
Columba livia domestica,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Feral Pigeon,,20,51.4917,25.272,Asia,Qatar,QA,,Qatar - Doha,2014-02-23,12:34
Spilopelia senegalensis cambayensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp cambayensis,,2,51.5229,25.2545,Asia,Qatar,QA,,Qatar - Doha,2014-02-23,12:30
Columba livia domestica,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Feral Pigeon,,2,51.5273,25.2544,Asia,Qatar,QA,,Qatar - Doha,2014-02-23,12:30
