scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Cichladusa ruficauda,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Rufous-tailed Palm Thrush,,2,15.2589301765,-4.28461788695,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2015-02-12,
Naucrates ductor,Animalia,JACKS_AND_POMPANOS_CARANGIDAE,Pilot Fish,,10,11.8034362793,-4.75572974293,Africa,Republic of the Congo,CG,,Congo,2013-08-04,
Megaptera novaeangliae,Animalia,RORQUAL_WHALES_BALAENOPTERIDAE,Humpback Whale,,8,11.5768432617,-4.69961638009,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2013-10-07,
Daphnis nerii,Animalia,Sphingidae,Oleander Hawk-moth,,1,11.8157958984,-4.75162404148,Africa,Republic of the Congo,CG,,Congo,2014-01-12,
Stenella attenuata,Animalia,DOLPHINS_DELPHINIDAE,Pantropical Spotted Dolphin,,20,10.5296716689,-4.90724101615,Africa,Republic of the Congo,CG,,Republic of the Congo - Conkouati-Douli NP,2012-06-11,07:30
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,3,12.1319943164,-5.59620709783,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2012-06-21,07:00
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,1,12.9130554199,-5.90701883332,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2012-06-24,15:00
Syncerus caffer nanus,Animalia,BOVIDS_BOVIDAE,African Forest Buffalo,,1,14.929012682903856,0.8931450000000609,Africa,Republic of the Congo,CG,,Republic of the Congo - Odzala-Kokoua NP,2000-09-18,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,4,15.275369073849255,-4.2676603516746265,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-30,14:25
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,1,15.275779941885068,-4.26776714384165,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-30,14:01
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,1,15.275368470011642,-4.267836011737443,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-30,13:33
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,1,15.274839707772552,-4.268127403582033,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-30,13:32
Cichladusa ruficauda,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Rufous-tailed Palm Thrush,,1,15.268667349606071,-4.267506147738795,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-17,07:28
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,9,15.268574897214089,-4.26761435810874,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-16,11:38
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,15.268554613008414,-4.267538250427942,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2020-01-16,07:32
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,2,15.2488,-4.2589,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2017-11-22,07:57
Cichladusa ruficauda,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Rufous-tailed Palm Thrush,,1,15.2486,-4.2592,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2017-11-22,07:56
Ploceus ocularis crocatus,Animalia,WEAVERS_PLOCEIDAE,Spectacled Weaver ssp crocatus,,1,16.54550336,-0.30360352,Africa,Republic of the Congo,CG,,Republic of the Congo - Cuvette,2015-03-04,
Lanius humeralis,Animalia,SHRIKES_LANIIDAE,Northern Fiscal,,1,11.9396352767,-4.93003953711,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2015-11-14,
Upupa africana,Animalia,HOOPOES_UPUPIDAE,African Hoopoe,,1,11.9440340991,-4.934977903,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2015-11-14,
Ispidina picta,Animalia,KINGFISHERS_ALCEDINIDAE,African Pygmy Kingfisher,,1,11.939191818,-4.92906753678,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2015-11-14,
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,15.2742273174,-4.3061270396,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2015-09-07,
Nycticorax nycticorax,Animalia,HERONS_ARDEIDAE,Black-crowned Night Heron,,1,15.2742273174,-4.3061270396,Africa,Republic of the Congo,CG,,Republic of the Congo - Pool,2015-09-07,
Hypolimnas misippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Danaid Eggfly,,1,11.9167327881,-4.69722119661,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2013-10-06,
Terpsiphone viridis,Animalia,MONARCHS_MONARCHIDAE,African Paradise Flycatcher,,1,11.8240356445,-4.71604027342,Africa,Republic of the Congo,CG,,Republic of the Congo - Kouilou,2015-08-16,
Polyboroides typus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Harrier-Hawk,,1,17.2585210204,-0.486998803506,Africa,Republic of the Congo,CG,,Republic of the Congo - Likouala,2015-03-16,
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,1,17.2585210204,-0.486998803506,Africa,Republic of the Congo,CG,,Republic of the Congo - Likouala,2015-03-15,
Charadrius marginatus,Animalia,PLOVERS_CHARADRIIDAE,White-fronted Plover,,1,17.2591218352,-0.485282251527,Africa,Republic of the Congo,CG,,Republic of the Congo - Likouala,2015-03-15,
Ciconia episcopus,Animalia,STORKS_CICONIIDAE,Woolly-necked Stork,,1,17.2588938475,-0.485111937361,Africa,Republic of the Congo,CG,,Republic of the Congo - Likouala,2015-03-15,
Psittacus erithacus,Animalia,PARROTS_PSITTACIDAE,Grey Parrot,,5,17.2582414001,-0.485581642363,Africa,Republic of the Congo,CG,,Republic of the Congo - Likouala,2015-03-15,
