scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Polistes olivaceus,Animalia,Vespidae,Yellow Oriental Paper Wasp,,1,55.4459971189,-20.8753357022,Africa,Reunion,RE,,Reunion,2014-04-17,
Nesoenas picturatus,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Malagasy Turtle Dove,,2,55.4690694809,-20.8793630206,Africa,Reunion,RE,,Reunion,2014-04-17,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,55.4338145256,-20.8787114394,Africa,Reunion,RE,,Reunion,2014-04-05,
Hedychium gardnerianum,Plantae,ZINGIBERACEAE,Kahili ginger,,1,55.4338145256,-20.8787114394,Africa,Reunion,RE,,Reunion,2014-04-05,
Zosterops borbonicus,Animalia,WHITEEYES_ZOSTEROPIDAE,Reunion Grey White-eye,,1,55.4338145256,-20.8787114394,Africa,Reunion,RE,,Reunion,2014-04-04,
Geopelia striata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zebra Dove,,1,55.4338145256,-20.8787114394,Africa,Reunion,RE,,Reunion,2014-04-04,
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,2,55.523986809421,-21.074932368359,Africa,Reunion,RE,,Reunion,2012-09-11,
Puffinus bailloni bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater ssp bailloni,,20,55.644392967006,-21.387836663333,Africa,Reunion,RE,,Reunion,2012-09-15,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,55.449028015137,-20.879984526165,Africa,Reunion,RE,,Reunion,2012-02-15,
Geopelia striata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zebra Dove,,1,55.449028015137,-20.879984526165,Africa,Reunion,RE,,Reunion,2012-02-15,
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,55.4457473755,-21.3477005607,Africa,Reunion,RE,,Reunion,2004-09-11,
Lalage newtoni,Animalia,CUCKOOSHRIKES_CAMPEPHAGIDAE,Reunion Cuckooshrike,,1,55.3872299194,-20.9861239404,Africa,Reunion,RE,,Reunion,2004-09-12,
Zosterops borbonicus,Animalia,WHITEEYES_ZOSTEROPIDAE,Reunion Grey White-eye,,1,55.45189261,-20.90404584,Africa,Reunion,RE,,Reunion,2012-02-15,
Nesoenas picturatus,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Malagasy Turtle Dove,,1,55.45189261,-20.90404584,Africa,Reunion,RE,,Reunion,2012-02-15,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,55.422191,-21.077995,Africa,Reunion,RE,,Reunion,2016-11-09,07:23
Ploceus cucullatus,Animalia,WEAVERS_PLOCEIDAE,Village Weaver,,1,55.477266,-21.027446,Africa,Reunion,RE,,Reunion,2016-11-06,15:04
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,1,55.4773,-21.028906,Africa,Reunion,RE,,Reunion,2016-11-06,14:59
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.417628,-21.066778,Africa,Reunion,RE,,Reunion,2016-11-08,12:32
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.422961,-21.077655,Africa,Reunion,RE,,Reunion,2016-11-09,06:55
Foudia madagascariensis,Animalia,WEAVERS_PLOCEIDAE,Red Fody,,1,55.478991,-21.125721,Africa,Reunion,RE,,Reunion,2016-11-14,13:07
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.434795,-21.103451,Africa,Reunion,RE,,Reunion,2016-11-09,12:54
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.424226,-21.088851,Africa,Reunion,RE,,Reunion,2016-11-10,12:45
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,6,55.3935546875,-20.9878787994385,Africa,Reunion,RE,,Reunion,2019-08-01,07:41
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,4,55.3935585021973,-20.9877986907959,Africa,Reunion,RE,,Reunion,2019-08-01,07:41
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,3,55.3941459655762,-20.9877319335938,Africa,Reunion,RE,,Reunion,2019-08-01,08:19
Zosterops borbonicus,Animalia,WHITEEYES_ZOSTEROPIDAE,Reunion Grey White-eye,,5,55.3932228088379,-20.9893245697021,Africa,Reunion,RE,,Reunion,2019-08-01,09:48
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.4755325317383,-21.1257648468018,Africa,Reunion,RE,,Reunion,2019-08-02,12:47
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,1,55.4795799255371,-21.1683464050293,Africa,Reunion,RE,,Reunion,2019-08-03,10:32
Foudia madagascariensis,Animalia,WEAVERS_PLOCEIDAE,Red Fody,,1,55.480712890625,-21.1700973510742,Africa,Reunion,RE,,Reunion,2019-08-03,11:06
Hypsipetes borbonicus,Animalia,BULBULS_PYCNONOTIDAE,Reunion Bulbul,,3,55.5679130554199,-21.1200466156006,Africa,Reunion,RE,,Reunion,2019-08-06,14:55
Circus maillardi,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Reunion Harrier,,1,55.5679130554199,-21.1200466156006,Africa,Reunion,RE,,Reunion,2019-08-06,14:55
Saxicola tectes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Reunion Stonechat,,3,55.5678672790527,-21.1200714111328,Africa,Reunion,RE,,Reunion,2019-08-06,14:56
