scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Lagopus lagopus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Willow Ptarmigan,,1,29.78579946,69.39982724,Asia,Russia,RU,,Russia - Pechengskiy rayon,2015-03-12,06:14
Bombus lapponicus,Animalia,Apidae,,,1,68.68229628,60.89206352,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-03,
Phoenicurus auroreus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Daurian Redstart,,1,104.895365462,51.8478149417,Asia,Russia,RU,,Russia - Pribaikalsky NP,2009-08-04,
Lycaena virgaureae,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Copper,,1,104.85,51.8,Asia,Russia,RU,,Russia - Pribaikalsky NP,2009-08-04,
Temnostoma vespiforme,Animalia,HOVER_FLIES_OR_FLOWER_FLIES_SYRPHIDAE,,,1,68.7019952356,60.8888215979,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-07,
Chroicocephalus ridibundus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-headed Gull,,1,20.4786732048,54.9628210616,Asia,Russia,RU,,Russia - Kurshskaya Kosa NP,2014-09-28,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,30.3034,59.9372,Asia,Russia,RU,,Russia - Sint Petersburg,2014-09-09,13:55
Colias palaeno,Animalia,WHITES_PIERIDAE,Moorland Clouded Yellow,,1,68.65,60.85,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-06,
Polygonia c-album,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Comma Butterfly,,1,68.699054718,60.8916877391,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-06,
Aporia crataegi,Animalia,WHITES_PIERIDAE,Black-veined White,,2,68.699054718,60.8916877391,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-06,
Agriades optilete,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Cranberry Blue,,1,68.65,60.85,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-06,
Somatochlora arctica,Animalia,EMERALDS_CORDULIIDAE,Northern Emerald,,1,69.45,61.05,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-07,
Cyaniris semiargus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Mazarine Blue,,2,69.4622612,61.0882595642,Asia,Russia,RU,,Russia - Khanty-Mansiyskiy rayon,2012-06-07,
