scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Pytilia melba,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Green-winged Pytilia,,1,30.240730159,-2.19363977205,Africa,Rwanda,RW,,Rwanda - Gashora,2015-01-22,15:00
Pytilia melba,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Green-winged Pytilia,,1,30.0947338343,-1.92278821734,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-02-01,15:00
Cossypha heuglini,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-browed Robin-Chat,,2,30.0947391987,-1.92278285594,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-02-01,15:00
Cinnyris venustus,Animalia,SUNBIRDS_NECTARINIIDAE,Variable Sunbird,,2,30.0947391987,-1.92278285594,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-02-01,15:00
Terpsiphone viridis,Animalia,MONARCHS_MONARCHIDAE,African Paradise Flycatcher,,1,30.0947391987,-1.92278285594,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-02-01,15:00
Chalcomitra senegalensis,Animalia,SUNBIRDS_NECTARINIIDAE,Scarlet-chested Sunbird,,3,30.0947391987,-1.92278285594,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-02-01,15:00
Terpsiphone viridis,Animalia,MONARCHS_MONARCHIDAE,African Paradise Flycatcher,,1,30.0947284698,-1.92279357874,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-22,07:00
Cinnyris stuhlmanni,Animalia,SUNBIRDS_NECTARINIIDAE,Rwenzori Double-collared Sunbird,,1,29.0595674515,-2.47866051769,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-27,14:00
Cyanomitra verticalis,Animalia,SUNBIRDS_NECTARINIIDAE,Green-headed Sunbird,,2,29.0595674515,-2.47866051769,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-27,14:00
Corythaeola cristata,Animalia,TURACOS_MUSOPHAGIDAE,Great Blue Turaco,,1,29.2119598389,-2.48144740227,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-30,10:00
Lanius humeralis,Animalia,SHRIKES_LANIIDAE,Northern Fiscal,,1,29.3312644958,-2.2742591272,Africa,Rwanda,RW,,Rwanda - Gisovu,2015-01-29,10:00
Melaenornis fischeri,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-eyed Slaty Flycatcher,,1,29.3312644958,-2.2742591272,Africa,Rwanda,RW,,Rwanda - Gisovu,2015-01-29,10:00
Apalis porphyrolaema,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Chestnut-throated Apalis,,1,29.1970252991,-2.48573490554,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,16:00
Melaniparus fasciiventer,Animalia,TITS_PARIDAE,Stripe-breasted Tit,,2,29.1970252991,-2.48573490554,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,16:00
Ceblepyris caesius,Animalia,CUCKOOSHRIKES_CAMPEPHAGIDAE,Grey Cuckooshrike,,1,29.1970252991,-2.48573490554,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,16:00
Batis diops,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Rwenzori Batis,,1,29.1525650024,-2.48942214721,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,11:30
Cryptospiza jacksoni,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Dusky Crimsonwing,,3,29.1525650024,-2.48942214721,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,11:30
Pogoniulus bilineatus,Animalia,Lybiidae,Yellow-rumped Tinkerbird,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Merops oreobates,Animalia,BEEEATERS_MEROPIDAE,Cinnamon-chested Bee-eater,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Cisticola chubbi,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Chubb's Cisticola,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Pycnonotus tricolor,Animalia,BULBULS_PYCNONOTIDAE,Dark-capped Bulbul,,2,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Muscicapa adusta,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,African Dusky Flycatcher,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Prinia bairdii,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Banded Prinia,,2,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Nigrita canicapillus,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Grey-headed Nigrita,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Dryoscopus gambensis,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Northern Puffback,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Melaenornis ardesiacus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Yellow-eyed Black Flycatcher,,4,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Chamaetylas poliophrys,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Red-throated Alethe,,1,29.112739563,-2.48796440174,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-28,09:30
Buteo oreophilus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Mountain Buzzard,,1,29.2289113998,-2.47578787667,Africa,Rwanda,RW,,Rwanda - Karengera,2015-01-27,10:30
Buteo augur,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Augur Buzzard,,2,29.4302272797,-2.5216636332,Africa,Rwanda,RW,,Rwanda - Mudasomwa,2015-01-27,09:30
Cecropis abyssinica,Animalia,SWALLOWS_HIRUNDINIDAE,Lesser Striped Swallow,,1,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Crithagra sulphurata,Animalia,FINCHES_FRINGILLIDAE,Brimstone Canary,,3,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Chalcomitra senegalensis,Animalia,SUNBIRDS_NECTARINIIDAE,Scarlet-chested Sunbird,,1,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Cinnyris venustus,Animalia,SUNBIRDS_NECTARINIIDAE,Variable Sunbird,,4,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Ploceus baglafecht,Animalia,WEAVERS_PLOCEIDAE,Baglafecht Weaver,,6,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Pycnonotus tricolor,Animalia,BULBULS_PYCNONOTIDAE,Dark-capped Bulbul,,6,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Cossypha heuglini,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-browed Robin-Chat,,2,30.0916975737,-1.92936127812,Africa,Rwanda,RW,,Rwanda - Rubungo,2015-01-26,09:00
Vanellus coronatus,Animalia,PLOVERS_CHARADRIIDAE,Crowned Lapwing,,2,30.5844783783,-1.43854283904,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,15:00
Lophaetus occipitalis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Long-crested Eagle,,1,30.6285095215,-1.52271462403,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,15:00
Lanius excubitoroides,Animalia,SHRIKES_LANIIDAE,Grey-backed Fiscal,,3,30.6285095215,-1.52271462403,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,15:00
Balearica regulorum,Animalia,CRANES_GRUIDAE,Grey Crowned Crane,,2,30.6648159027,-1.51627958602,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,14:00
Vanellus senegallus,Animalia,PLOVERS_CHARADRIIDAE,African Wattled Lapwing,,2,30.7346177101,-1.53575624207,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,12:00
Haliaeetus vocifer,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Fish Eagle,,1,30.7363128662,-1.53163784494,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,12:00
Alopochen aegyptiaca,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Egyptian Goose,,8,30.7295751572,-1.53901663417,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,12:00
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,30.7422780991,-1.72901131629,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,11:00
Pternistis hildebrandti,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Hildebrandt's Spurfowl,,1,30.7368278503,-1.87982680172,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,10:00
Lophoceros nasutus,Animalia,HORNBILLS_BUCEROTIDAE,African Grey Hornbill,,1,30.7368278503,-1.87982680172,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,10:00
Lamprotornis purpuroptera,Animalia,STARLINGS_STURNIDAE,Rüppell's Starling,,6,30.7368278503,-1.87982680172,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,10:00
Corythaixoides personatus,Animalia,TURACOS_MUSOPHAGIDAE,Bare-faced Go-away-bird,,2,30.734167099,-1.88926307082,Africa,Rwanda,RW,,Rwanda - Akagera NP,2015-01-24,09:00
Passer griseus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Northern Grey-headed Sparrow,,1,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,07:45
Lagonosticta senegala,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Red-billed Firefinch,,1,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,07:45
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,2,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,07:45
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,2,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,08:15
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,08:30
Ceryle rudis,Animalia,KINGFISHERS_ALCEDINIDAE,Pied Kingfisher,,1,29.2729452252,-1.7342606832,Africa,Rwanda,RW,,Rwanda - Nyamyumba,2014-03-02,08:30
Emberiza flaviventris,Animalia,BUNTINGS_EMBERIZIDAE,Golden-breasted Bunting,,1,29.7869468294,-2.0489854711,Africa,Rwanda,RW,,Rwanda - Nyamabuye,2014-02-28,08:32
