scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Falco peregrinus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon,,3,12.4513531327,43.9333179663,Europe,San Marino,SM,,San Marino,2011-06-02,14:39
Podarcis muralis maculiventris,Animalia,Lacertidae,,,5,12.4501300454,43.9344614547,Europe,San Marino,SM,,San Marino,2011-06-02,14:18
Papilio machaon,Animalia,SWALLOWTAILS_PAPILIONIDAE,Swallowtail,,3,12.4499934912,43.9346996495,Europe,San Marino,SM,,San Marino,2011-06-02,14:14
Falco peregrinus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon,,3,12.4496152997,43.9354705595,Europe,San Marino,SM,,San Marino,2008-06-11,13:36
Papilio machaon,Animalia,SWALLOWTAILS_PAPILIONIDAE,Swallowtail,,1,12.448615055556,43.934883111111,Europe,San Marino,SM,,San Marino - San Marino,2019-07-30,15:00
Asplenium ruta-muraria,Plantae,ASPLENIACEAE,Wall-rue,,1,12.449678416667,43.934894555556,Europe,San Marino,SM,,San Marino - San Marino,2019-07-30,14:28
Euphorbia prostrata,Plantae,EUPHORBIACEAE,Prostrate sandmat,,1,12.44564817,43.93513869,Europe,San Marino,SM,,San Marino - San Marino,2019-07-30,11:58
Saxicola rubicola,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Stonechat,,1,12.46021986,43.9316176,Europe,San Marino,SM,,San Marino - Borgo Maggiore,2019-06-03,16:08
Saxicola rubicola,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Stonechat,,1,12.4601678848267,43.9316291809082,Europe,San Marino,SM,,San Marino - Borgo Maggiore,2019-06-03,15:22
Saxicola rubicola,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Stonechat,,1,12.42357167,43.92421333,Europe,San Marino,SM,,San Marino - Chiesanuova,2017-04-19,16:30
Passer italiae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Italian Sparrow,,3,12.46108757,43.95937865,Europe,San Marino,SM,,San Marino - Borgo Maggiore,2017-04-18,
Papilio machaon,Animalia,SWALLOWTAILS_PAPILIONIDAE,Swallowtail,,1,12.446752041578,43.932516484072,Europe,San Marino,SM,,San Marino - San Marino,2005-07-22,
Iphiclides podalirius,Animalia,SWALLOWTAILS_PAPILIONIDAE,Scarce Swallowtail,,1,12.4,43.9,Europe,San Marino,SM,,San Marino - Borgo Maggiore,2015-07-23,12:40
