scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Zosterops feae,Animalia,WHITEEYES_ZOSTEROPIDAE,Sao Tome White-eye,,1,6.5988350477856175,-0.0933830949375,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe - Sao Tome,2011-11-29,
Treron sanctithomae,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Sao Tome Green Pigeon,,1,6.5478515625,0.0988769040467,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe - Obo NP,2011-11-19,
Prinia molleri,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Sao Tome Prinia,,1,6.64269447327,0.298014250561,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-30,
Ploceus velatus,Animalia,WEAVERS_PLOCEIDAE,Southern Masked Weaver,,1,6.61213874817,0.288567276651,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-30,
Anabathmis newtonii,Animalia,SUNBIRDS_NECTARINIIDAE,Newton's Sunbird,,1,6.61233186722,0.288701027865,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-30,
Speirops lugubris,Animalia,WHITEEYES_ZOSTEROPIDAE,,,2,6.61233186722,0.288701027865,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-30,
Turdus olivaceofuscus,Animalia,THRUSHES_TURDIDAE,Sao Tome Thrush,,1,6.61233186722,0.288701027865,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-30,
Zosterops feae,Animalia,WHITEEYES_ZOSTEROPIDAE,Sao Tome White-eye,,1,6.54699325562,0.037176129419,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-28,
Egretta gularis,Animalia,HERONS_ARDEIDAE,Western Reef Heron,,1,6.53137207031,0.0297088607988,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-28,
Estrilda astrild,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Common Waxbill,,20,6.59781038761,0.110888531113,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-27,
Egretta gularis,Animalia,HERONS_ARDEIDAE,Western Reef Heron,,1,6.54622077942,0.0366497014802,Africa,Sao Tome and Principe,ST,,Sao Tome and Principe,2009-07-27,
