scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Microcarbo pygmaeus,Animalia,CORMORANTS_PHALACROCORACIDAE,Pygmy Cormorant,,3,20.4485607147,44.8296695327,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Carduelis carduelis,Animalia,FINCHES_FRINGILLIDAE,European Goldfinch,,10,20.4473161697,44.826351934,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Chroicocephalus ridibundus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-headed Gull,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Fulica atra,Animalia,RAILS_RALLIDAE,Eurasian Coot,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Aythya fuligula,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Tufted Duck,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Aythya ferina,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Common Pochard,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Cygnus olor,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mute Swan,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Anas platyrhynchos,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mallard,,1,20.4494190216,44.8302478102,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Pica pica,Animalia,CROWS_AND_JAYS_CORVIDAE,Eurasian Magpie,,1,20.5092430115,44.8044936224,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,20.5092430115,44.8044936224,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Dendrocopos major,Animalia,WOODPECKERS_PICIDAE,Great Spotted Woodpecker,,1,20.5092430115,44.8044936224,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-07,
Cygnus olor,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mute Swan,,4,20.4441404343,44.827615079,Europe,Serbia,RS,,Serbia - Grad Beograd,2014-12-06,
