scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Lonchura cucullata,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Bronze Mannikin,,1,-12.047461867442,8.8976774288282,Africa,Sierra Leone,SL,,Sierra Leone,2013-07-09,
Euplectes macroura,Animalia,WEAVERS_PLOCEIDAE,Yellow-mantled Widowbird,,1,-12.048223614802,8.898228614202,Africa,Sierra Leone,SL,,Sierra Leone,2013-07-09,
Passer griseus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Northern Grey-headed Sparrow,,5,-11.180076602614,7.8131241321923,Africa,Sierra Leone,SL,,Sierra Leone,2013-07-09,
Necrosyrtes monachus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Hooded Vulture,,12,-11.179904941237,7.8317177988068,Africa,Sierra Leone,SL,,Sierra Leone,2013-07-09,
Dicrurus atactus,Animalia,DRONGOS_DICRURIDAE,Fanti Drongo,,1,-12.2397994995,7.42375120874,Africa,Sierra Leone,SL,,Sierra Leone,2009-02-03,
Porphyrio madagascariensis,Animalia,RAILS_RALLIDAE,African Swamphen,,2,-12.1519088745,7.31207116766,Africa,Sierra Leone,SL,,Sierra Leone,2009-02-02,
Porphyrio madagascariensis,Animalia,RAILS_RALLIDAE,African Swamphen,,4,-12.0286560059,7.2494091288,Africa,Sierra Leone,SL,,Sierra Leone,2009-01-31,
Glareola nuchalis,Animalia,COURSERS_AND_PRATINCOLES_GLAREOLIDAE,Rock Pratincole,,5,-11.3554592132568,7.55421447753906,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-15,14:27
Chalcomitra adelberti,Animalia,SUNBIRDS_NECTARINIIDAE,Buff-throated Sunbird,,2,-11.3553552627563,7.55424833297729,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-16,10:25
Epomops buettikoferi,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Buettikofer's Epauletted Fruit Bat,,1,-11.36808136,7.56231096,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-16,18:14
Glareola nuchalis,Animalia,COURSERS_AND_PRATINCOLES_GLAREOLIDAE,Rock Pratincole,,75,-11.3562383651733,7.55324983596802,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-17,09:11
Scotopelia ussheri,Animalia,OWLS_STRIGIDAE,Rufous Fishing Owl,,1,-11.3566274642944,7.55350685119629,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-17,16:31
Podica senegalensis,Animalia,FINFOOTS_HELIORNITHIDAE,African Finfoot,,1,-11.355320930481,7.55432176589966,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-17,19:26
Podica senegalensis,Animalia,FINFOOTS_HELIORNITHIDAE,African Finfoot,,1,-11.362494468689,7.55809593200684,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2020-02-18,08:16
Glareola nuchalis,Animalia,COURSERS_AND_PRATINCOLES_GLAREOLIDAE,Rock Pratincole,,1,-11.3566408157349,7.55346536636353,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2019-04-04,18:36
Scotopelia ussheri,Animalia,OWLS_STRIGIDAE,Rufous Fishing Owl,,3,-11.3574924468994,7.54523277282715,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2019-04-05,23:06
Campethera maculosa,Animalia,WOODPECKERS_PICIDAE,Little Green Woodpecker,,1,-11.3542356714606,7.54553008168955,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2019-04-06,09:53
Hypolimnas salmacis salmacis,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,-11.35555699,7.55433422,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2019-01-28,
Cercocebus atys,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Sooty Mangabey,,1,-11.35929063,7.55080315,Africa,Sierra Leone,SL,,Sierra Leone - Barri (chiefdom),2019-01-28,
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,25000,-12.02979326,8.90676941,Africa,Sierra Leone,SL,,Sierra Leone - Makari Gbanti (chiefdom),2019-01-17,18:15
Corythaeola cristata,Animalia,TURACOS_MUSOPHAGIDAE,Great Blue Turaco,,3,-11.85950518,8.99969365,Africa,Sierra Leone,SL,,Sierra Leone - Safroko Limba (chiefdom),2019-01-17,
Streptopelia semitorquata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Red-eyed Dove,,35,-13.13987643,8.56633712,Africa,Sierra Leone,SL,,Sierra Leone - Kaffu Bullom (chiefdom),2019-01-16,
Lanius humeralis,Animalia,SHRIKES_LANIIDAE,Northern Fiscal,,1,-12.72857669,8.63053672,Africa,Sierra Leone,SL,,Sierra Leone - Maforki (chiefdom),2017-11-20,
Lagonosticta senegala,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Red-billed Firefinch,,1,-11.5525818,9.71433615,Africa,Sierra Leone,SL,,Sierra Leone - Follosaba Dembelia (chiefdom),2016-12-11,
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,-13.21918488,8.48418935,Africa,Sierra Leone,SL,,Sierra Leone - Freetown1 (chiefdom),2016-12-07,
Necrosyrtes monachus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Hooded Vulture,,1,-13.25683594,8.48194255,Africa,Sierra Leone,SL,,Sierra Leone - Freetown1 (chiefdom),2016-12-21,
Egretta gularis,Animalia,HERONS_ARDEIDAE,Western Reef Heron,,1,-13.25507641,8.48509769,Africa,Sierra Leone,SL,,Sierra Leone - Wara Wara Yagala (chiefdom),2016-12-21,
Dicrurus divaricatus divaricatus,Animalia,DRONGOS_DICRURIDAE,Glossy-backed Drongo ssp divaricatus,,1,-11.54797554,9.58109862,Africa,Sierra Leone,SL,,Sierra Leone - Wara Wara Yagala (chiefdom),2016-12-12,
Emberiza goslingi,Animalia,BUNTINGS_EMBERIZIDAE,Gosling's Bunting,,1,-11.54797554,9.58109862,Africa,Sierra Leone,SL,,Sierra Leone - Wara Wara Yagala (chiefdom),2016-12-16,
