scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Pteropus admiralitatum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Admiralty Flying Fox,,1,160.019531236,-9.46856834263,Australia,Solomon Islands,SB,,Solomon Islands,2009-03-31,
Pandion cristatus,Animalia,OSPREY_PANDIONIDAE,Eastern Osprey,,2,157.112274156,-8.12326774031,Australia,Solomon Islands,SB,,Solomon Islands,2009-04-01,
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,166.07391108,-11.53289309,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,06:30
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,166.03616308,-11.46060731,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,06:55
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,2,166.01993216,-11.42767883,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,07:06
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,1,166.0085749,-11.40340215,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,07:14
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,7,165.95559421,-11.30186077,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,07:49
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,2,165.94106055,-11.27697701,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,07:58
Ziphius cavirostris,Animalia,BEAKED_WHALES_ZIPHIIDAE,Cuvier's Beaked Whale,,3,165.81286886,-11.03368735,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-28,09:24
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,4,166.7284382,-11.44904606,Australia,Solomon Islands,SB,,Solomon Islands,2014-04-30,16:55
