scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Sylvia mystacea,Animalia,OLD_WORLD_WARBLERS_SYLVIIDAE,Menetries's Warbler,,1,45.176725387573,10.004015193747,Africa,Somalia,SO,,Somalia - Togdheer,2012-12-28,
Ichthyaetus leucophthalmus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White-eyed Gull,,1,44.996807165444,10.443461008219,Africa,Somalia,SO,,Somalia,2012-12-29,
Ichthyaetus hemprichii,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Gull,,10,44.996807165444,10.443461008219,Africa,Somalia,SO,,Somalia,2012-12-29,
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,4,44.996807165444,10.443461008219,Africa,Somalia,SO,,Somalia,2012-12-29,
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,3,44.996807165444,10.443461008219,Africa,Somalia,SO,,Somalia,2012-12-28,
Dinemellia dinemelli,Animalia,WEAVERS_PLOCEIDAE,White-headed Buffalo Weaver,,2,45.170348184183,9.9497987193013,Africa,Somalia,SO,,Somalia,2012-12-28,
Merops pusillus cyanostictus,Animalia,BEEEATERS_MEROPIDAE,Little Bee-eater ssp cyanostictus,,1,45.170348184183,9.9497987193013,Africa,Somalia,SO,,Somalia,2012-12-28,
Laniarius funebris,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Slate-colored Boubou,,1,45.170348184183,9.9497987193013,Africa,Somalia,SO,,Somalia,2012-12-28,
Tricholaema melanocephala,Animalia,Lybiidae,Black-throated Barbet,,1,45.170348184183,9.9497987193013,Africa,Somalia,SO,,Somalia,2012-12-28,
Emberiza tahapisi,Animalia,BUNTINGS_EMBERIZIDAE,Cinnamon-breasted Bunting,,2,45.170348184183,9.9497987193013,Africa,Somalia,SO,,Somalia,2012-12-28,
Oenanthe melanura,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Blackstart,,2,45.189357523341,9.9314551934919,Africa,Somalia,SO,,Somalia,2012-12-28,
Coracias naevius,Animalia,ROLLERS_CORACIIDAE,Purple Roller,,2,45.190387491602,9.9436293745739,Africa,Somalia,SO,,Somalia,2012-12-27,
Rhynchostruthus louisae,Animalia,FINCHES_FRINGILLIDAE,Somali Golden-winged Grosbeak,,1,45.190387491602,9.9436293745739,Africa,Somalia,SO,,Somalia,2012-12-27,
Oenanthe phillipsi,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Somali Wheatear,,1,45.190387491602,9.9436293745739,Africa,Somalia,SO,,Somalia,2012-12-27,
Corvus edithae,Animalia,CROWS_AND_JAYS_CORVIDAE,Somali Crow,,5,45.182888098061,9.935925442939,Africa,Somalia,SO,,Somalia,2012-12-27,
Corvus rhipidurus,Animalia,CROWS_AND_JAYS_CORVIDAE,Fan-tailed Raven,,10,45.182888098061,9.935925442939,Africa,Somalia,SO,,Somalia,2012-12-27,
Merops pusillus cyanostictus,Animalia,BEEEATERS_MEROPIDAE,Little Bee-eater ssp cyanostictus,,1,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Laniarius funebris,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Slate-colored Boubou,,1,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Dicrurus divaricatus lugubris,Animalia,DRONGOS_DICRURIDAE,Glossy-backed Drongo ssp lugubris,,3,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Nilaus afer,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Brubru,,1,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Corythaixoides leucogaster,Animalia,TURACOS_MUSOPHAGIDAE,White-bellied Go-away-bird,,14,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Polihierax semitorquatus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Pygmy Falcon,,1,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Campethera nubica,Animalia,WOODPECKERS_PICIDAE,Nubian Woodpecker,,1,45.164373280713,9.8919004247027,Africa,Somalia,SO,,Somalia,2012-12-27,
Pycnonotus somaliensis,Animalia,BULBULS_PYCNONOTIDAE,Somali Bulbul,,20,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
Terpsiphone viridis ferreti,Animalia,MONARCHS_MONARCHIDAE,African Paradise Flycatcher ssp ferreti,,2,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
Laniarius funebris,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Slate-colored Boubou,,1,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
Nilaus afer,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Brubru,,1,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
Tockus flavirostris,Animalia,HORNBILLS_BUCEROTIDAE,Eastern Yellow-billed Hornbill,,5,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
Crithagra tristriata,Animalia,FINCHES_FRINGILLIDAE,Brown-rumped Seedeater,,4,45.182424536906,9.9388619073496,Africa,Somalia,SO,,Somalia,2012-12-27,
