scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Argemone mexicana,Plantae,PAPAVERACEAE,Mexican Poppy,,1,-5.7160663604736,-15.928070076905,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,2,-14.4101840257,-7.92491804342,Antarctica,St. Helena,SH,,Ascension Island,2011-04-25,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,2,-5.69739818573,-15.9629685087,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-20,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,5,-5.68486690521,-15.9326397369,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-19,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,100,-5.77743530273,-15.8594604624,Antarctica,St. Helena,SH,,St. Helena - Saint Helena,2011-04-20,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,300,-5.77743530273,-15.8594604624,Antarctica,St. Helena,SH,,St. Helena - Saint Helena,2011-04-19,
Sterna vittata,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Antarctic Tern,,20,-12.3157864809,-37.0712375371,Antarctica,St. Helena,SH,,Tristan da Cunha ,2011-04-14,
Sterna vittata,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Antarctic Tern,,10,-12.4736854434,-37.4182585638,Antarctica,St. Helena,SH,,Nightingale Islands,2011-04-13,
Nesospiza questi,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Nightingale Island Finch,,20,-12.4736854434,-37.4182585638,Antarctica,St. Helena,SH,,Nightingale Islands,2011-04-13,
Turdus eremita procax,Animalia,THRUSHES_TURDIDAE,Tristan Thrush ssp procax,,30,-12.4736854434,-37.4182585638,Antarctica,St. Helena,SH,,Nightingale Islands,2011-04-13,
Turdus eremita gordoni,Animalia,THRUSHES_TURDIDAE,Tristan Thrush ssp gordoni,,100,-12.6551556587,-37.2928408189,Antarctica,St. Helena,SH,,Inaccessible Island,2011-04-13,
Turdus eremita eremita,Animalia,THRUSHES_TURDIDAE,Tristan Thrush ssp eremita,,2,-12.3159313202,-37.0869362467,Antarctica,St. Helena,SH,,Tristan da Cunha ,2011-04-12,
Sterna vittata,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Antarctic Tern,,5,-12.3157167435,-37.0710668996,Antarctica,St. Helena,SH,,Tristan da Cunha ,2011-04-12,
Anous stolidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown Noddy,,2,-9.89696502688,-40.3009997568,Antarctica,St. Helena,SH,,Gough Island,2011-04-11,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,7,-14.4140678644,-7.9742426973,Antarctica,St. Helena,SH,,Ascension Island,2011-04-25,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,100,-5.76398217679,-15.9553391248,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Anous stolidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown Noddy,,100,-5.76398217679,-15.9553391248,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,200,-14.308,-7.935,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-24,
Charadrius sanctaehelenae,Animalia,PLOVERS_CHARADRIIDAE,St. Helena Plover,,3,-5.68593978882,-15.9308239915,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-19,
Charadrius sanctaehelenae,Animalia,PLOVERS_CHARADRIIDAE,St. Helena Plover,,9,-5.68593978882,-15.9308239915,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-19,
Rowettia goughensis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Gough Finch,,17,-9.90431785761,-40.3157265116,Antarctica,St. Helena,SH,,Gough Island,2011-04-11,
Gallinula comeri,Animalia,RAILS_RALLIDAE,Gough Moorhen,,3,-9.90431785761,-40.3157265116,Antarctica,St. Helena,SH,,Gough Island,2011-04-11,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,700,-14.3072891235,-7.93623497322,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-27,
Phaethon lepturus,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird,,1,-14.3105372786,-7.93663876402,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-27,
Tursiops truncatus,Animalia,DOLPHINS_DELPHINIDAE,Common Bottlenose Dolphin,,20,-14.3306216597,-7.91589615532,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-28,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,8,-14.4047150016,-7.98149957206,Antarctica,St. Helena,SH,,Ascension Island,2011-04-28,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,4,-14.407633245,-7.92271837868,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-26,
Estrilda astrild,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Common Waxbill,,20,-14.4075044989,-7.92429108703,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-26,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,2,-14.4099506736,-7.92501368075,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-26,
Crithagra flaviventris,Animalia,FINCHES_FRINGILLIDAE,Yellow Canary,,10,-14.3278107047,-7.94144171892,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-27,
Nesospiza acunhae,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Inaccessible Island Finch,,20,-12.6610779762,-37.3096876476,Antarctica,St. Helena,SH,,Inaccessible Island,2011-04-13,
Turdus eremita gordoni,Animalia,THRUSHES_TURDIDAE,Tristan Thrush ssp gordoni,,40,-12.6610779762,-37.3096876476,Antarctica,St. Helena,SH,,Inaccessible Island,2011-04-13,
Atlantisia rogersi,Animalia,RAILS_RALLIDAE,Inaccessible Island Rail,,1,-12.6610779762,-37.3096876476,Antarctica,St. Helena,SH,,Inaccessible Island,2011-04-13,
Lycopodiella cernua,Plantae,LYCOPODIACEAE,,,1,-5.69990873337,-15.9874248691,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Carpobrotus edulis,Plantae,AIZOACEAE,Hottentot-fig,,1,-5.68746328354,-15.9432353816,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-19,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,1,-14.410200119,-7.92463679725,Antarctica,St. Helena,SH,,Ascension Island,2011-04-25,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-14.4105863571,-7.92438176409,Antarctica,St. Helena,SH,,Ascension Island,2011-04-25,
Chelonia mydas,Animalia,Cheloniidae,Green Turtle,,5,-14.4105863571,-7.92438176409,Antarctica,St. Helena,SH,,Ascension Island,2011-04-25,
Empetrum rubrum,Plantae,ERICACEAE,,,1,-12.3030567169,-37.0679850878,Antarctica,St. Helena,SH,,Tristan da Cunha ,2011-04-14,
Estrilda astrild,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Common Waxbill,,1,-14.4123888016,-7.92648578297,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Crithagra flaviventris,Animalia,FINCHES_FRINGILLIDAE,Yellow Canary,,10,-14.4123888016,-7.92648578297,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,5,-14.4146633148,-7.90036543371,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,5,-14.4146633148,-7.90036543371,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Tursiops truncatus,Animalia,DOLPHINS_DELPHINIDAE,Common Bottlenose Dolphin,,15,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,75,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Phaethon lepturus,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird,,2,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,1,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,5,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,75,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,50,-14.3006801605,-7.93284027974,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,5,-14.2417171597,-8.05037536439,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,1,-14.2417171597,-8.05037536439,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula dactylatra,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Masked Booby,,1,-14.2417171597,-8.05037536439,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,5,-14.2417171597,-8.05037536439,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Fregata aquila,Animalia,FRIGATEBIRDS_FREGATTIDAE,Ascension Frigatebird,,1,-14.2417171597,-8.05037536439,Antarctica,St. Helena,SH,,Ascension Island,2011-04-24,
Lonchura oryzivora,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Java Sparrow,,20,-5.71229869128,-15.9318647824,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Estrilda astrild,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Common Waxbill,,35,-5.71229869128,-15.9318647824,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
Crithagra flaviventris,Animalia,FINCHES_FRINGILLIDAE,Yellow Canary,,15,-5.71229869128,-15.9318647824,Antarctica,St. Helena,SH,,St. Helena - Atlantic Ocean,2011-04-21,
