scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,3,-62.7258751554,17.2922184175,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,18:00
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,3,-62.722552987,17.2961081777,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,16:00
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,1,-62.8007572344,17.3273860082,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,14:50
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-62.8026114803,17.3279242096,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,14:40
Ameiva erythrocephala,Animalia,Teiidae,St. Christopher Ameiva,,1,-62.7983628586,17.3269102572,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,14:25
Chlorocebus sabaeus,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Green Monkey,,3,-62.8001939692,17.3271145977,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,14:00
Himantopus mexicanus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-necked Stilt,,1,-62.6268909133,17.2402335086,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,09:40
Numenius hudsonicus hudsonicus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Hudsonian Whimbrel ssp hudsonicus,,1,-62.6268909133,17.2402335086,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-29,09:40
Nyctanassa violacea,Animalia,HERONS_ARDEIDAE,Yellow-crowned Night Heron,,1,-62.6284502826,17.1518344954,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,17:30
Chlorocebus sabaeus,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Green Monkey,,1,-62.5656669775,17.1403426379,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,15:00
Anolis bimaculatus,Animalia,Polychrotidae,Panther Anole,,1,-62.5887554325,17.1329682237,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,14:40
Anolis schwartzi,Animalia,Polychrotidae,Statia Bank Bush Anole,,1,-62.5887554325,17.1329682237,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,14:40
Calidris alba,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Sanderling,,2,-62.7262865393,17.2941557846,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,12:15
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,1,-62.7262865393,17.2941557846,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,12:10
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,4,-62.7262865393,17.2941557846,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,12:10
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-62.6833632307,17.2917972416,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,07:50
Anolis bimaculatus,Animalia,Polychrotidae,Panther Anole,,1,-62.6839479523,17.2919662663,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,07:40
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,3,-62.6845755892,17.2924630957,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,07:40
Charadrius semipalmatus,Animalia,PLOVERS_CHARADRIIDAE,Semipalmated Plover,,2,-62.6832881289,17.2937538216,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,07:30
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-62.6891344786,17.2855702959,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-62.6882976294,17.2844639108,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-62.6882976294,17.2844639108,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Himantopus mexicanus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-necked Stilt,,1,-62.6882976294,17.2844639108,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,1,-62.6882976294,17.2844639108,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-62.6882976294,17.2844639108,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2012-03-24,
Charadrius semipalmatus,Animalia,PLOVERS_CHARADRIIDAE,Semipalmated Plover,,4,-62.683289051,17.2943266566,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2011-04-02,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-62.6886534691,17.2863363286,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2011-04-01,
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,6,-62.6865506172,17.2914173978,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2011-03-31,
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,4,-62.6846706309,17.2924516962,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2011-03-30,
Danaus plexippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,American Monarch,,1,-62.72347927,17.29412562,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2018-01-12,
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,3,-62.7197613580169,17.2882405734727,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2018-01-12,11:28
Tyrannus dominicensis vorax,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird ssp vorax,,1,-62.72391305,17.29603832,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2018-01-12,14:56
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,-62.7238116452833,17.2957264482341,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2018-01-12,14:59
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,1,-62.72416946,17.29271556,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2017-07-13,
Calidris melanotos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Pectoral Sandpiper,,1,-62.6282840688,17.1516728488,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-62.7263634838,17.2939321903,South America,St. Kitts and Nevis,KN,,St. Kitts and Nevis,2013-09-28,
