scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Enchophyllum rileyi,Animalia,MEMBRACIDAE,,,1,-61.24961257,13.20090189,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-01,
Apis mellifera,Animalia,Apidae,Western Honey Bee,,1,-61.22755051,13.16555025,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-04,
Dryas iulia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Julia Heliconian,,1,-61.22051239,13.20249584,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-04,
Agraulis vanillae,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Gulf Fritillary,,1,-61.21730805,13.19930375,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-04,
Coleomegilla maculata,Animalia,LADYBIRDS_LADYBUGS_OR_LADY_BEETLES_COCCINELLIDAE,Spotted Lady Beetle,,1,-61.26640052,13.18925403,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-04,
Anolis sagrei,Animalia,Polychrotidae,Cuban Brown Anole,,1,-61.23155594,13.1693863,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-04,
Polistes dominicus,Animalia,Vespidae,,,1,-61.26237631,13.19074673,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2019-03-02,
Zenaida auriculata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Eared Dove,,1,-61.2278,13.011935,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2015-03-26,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-61.227729,13.165183,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2015-03-23,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,1,-61.2386714000769,13.1445388638875,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2018-01-09,07:27
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-61.2386396274652,13.1445192897054,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2018-01-09,07:32
Zenaida auriculata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Eared Dove,,1,-61.23710632,13.01057898,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2017-07-18,
Junonia evarete,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Tropical Buckeye,,1,-61.21232958,13.02912055,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2017-07-18,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-61.22583332,13.17480597,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2017-07-20,
Agraulis vanillae,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Gulf Fritillary,,1,-61.21413932,13.02717384,South America,St. Vincent and the Grenadines,VC,,St. Vincent and the Grenadines,2017-07-18,
