scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Merops persicus,Animalia,BEEEATERS_MEROPIDAE,Blue-cheeked Bee-eater,,12,33.9341560007,18.2568694611,Africa,Sudan,SD,,Sudan - Nile Valley - Artoli-Berber,2014-05-11,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,1,33.9339387416,18.2553207621,Africa,Sudan,SD,,Sudan - Nile Valley - Artoli-Berber,2014-05-11,
Pluvianus aegyptius,Animalia,Pluvianidae,Egyptian Plover,,1,33.9339387416,18.2553207621,Africa,Sudan,SD,,Sudan - Nile Valley - Artoli-Berber,2014-05-11,
Neophron percnopterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Egyptian Vulture,,2,33.7502235174,16.9390257962,Africa,Sudan,SD,,Sudan - Northern,2014-05-11,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,1,32.5074076653,15.6087155522,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Euodice cantans orientalis,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,African Silverbill ssp orientalis,,1,32.5079387426,15.6062045755,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Zizeeria knysna,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,African Grass Blue,,1,32.5079387426,15.6062045755,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Spilopelia senegalensis senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp senegalensis,,1,32.5166290998,15.6071810701,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Portulaca oleracea,Plantae,PORTULACACEAE,Common Purslane,,1,32.5166290998,15.6071810701,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Zizeeria knysna,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,African Grass Blue,,1,32.5166290998,15.6071810701,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-23,
Zizeeria knysna,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,African Grass Blue,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Papilio demodocus,Animalia,SWALLOWTAILS_PAPILIONIDAE,Christmas Butterfly,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Danaus chrysippus alcippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Merops pusillus ocularis,Animalia,BEEEATERS_MEROPIDAE,Little Bee-eater ssp ocularis,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Motacilla flava thunbergi,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Grey-headed Wagtail,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Tringa nebularia,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Greenshank,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Chlidonias leucopterus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White-winged Tern,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Urocolius macrourus griseogularis,Animalia,MOUSEBIRDS_COLIIDAE,Blue-naped Mousebird ssp griseogularis,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Estrilda rhodopyga rhodopyga,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Crimson-rumped Waxbill ssp rhodopyga,,1,32.5069141388,15.6583294468,Africa,Sudan,SD,,Sudan - Khartoum,2013-11-22,
Lanius excubitor leucopygos,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike ssp leucopygos,,1,33.273666501,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Aerva javanica,Plantae,AMARANTHACEAE,Kapokbush,,1,32.586607933,16.0201996536,Africa,Sudan,SD,,Sudan - Nile Valley - Shendi-Khartoum,2013-11-22,
Zizeeria knysna,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,African Grass Blue,,1,32.586607933,16.0201996536,Africa,Sudan,SD,,Sudan - Nile Valley - Shendi-Khartoum,2013-11-22,
Papilio demodocus,Animalia,SWALLOWTAILS_PAPILIONIDAE,Christmas Butterfly,,1,32.586607933,16.0201996536,Africa,Sudan,SD,,Sudan - Nile Valley - Shendi-Khartoum,2013-11-22,
Sphingonotus savignyi,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,,,1,32.586607933,16.0201996536,Africa,Sudan,SD,,Sudan - Nile Valley - Shendi-Khartoum,2013-11-22,
Oena capensis capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove ssp capensis,,1,33.2736772299,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Oena capensis capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove ssp capensis,,1,33.2736772299,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Oenanthe deserti homochroa,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Desert Wheatear ssp homochroa,,1,33.2736772299,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Spiloptila clamans,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Cricket Warbler,,1,33.2736772299,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Euodice cantans orientalis,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,African Silverbill ssp orientalis,,1,33.2736772299,16.2693967078,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
Lanius excubitor leucopygos,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike ssp leucopygos,,1,33.2792079449,16.2688971959,Africa,Sudan,SD,,Sudan - Northern,2013-11-22,
