scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,36.3101434716,33.5090793471,Asia,Syria,SY,,Syria - Damascus (Dimashq),2010-02-24,
Vespa orientalis,Animalia,Vespidae,Oriental Hornet,,1,36.2338,34.6946,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Pseudagrion syriacum,Animalia,POND_DAMSELS_COENAGRIONIDAE,Syrian Sprite,,10,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Onychogomphus lefebvrii,Animalia,CLUBTAILS_GOMPHIDAE,Pale pincertail,,3,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Platycnemis dealbata,Animalia,WHITELEGGED_DAMSELFLIES_PLATYCNEMIDIDAE,Ivory Featherleg,,50,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Epallage fatime,Animalia,GOSSAMERWINGS_EUPHAEIDAE,Odalisque,,1,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Chalcolestes parvidens,Animalia,SPREADWINGS_LESTIDAE,Eastern Willow Spreadwing,,8,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Ceriagrion georgifreyi,Animalia,POND_DAMSELS_COENAGRIONIDAE,Turkish Red Damselfly,,10,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Trithemis arteriosa,Animalia,SKIMMERS_LIBELLULIDAE,Red-veined Dropwing,,2,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Orthetrum brunneum,Animalia,SKIMMERS_LIBELLULIDAE,Southern Skimmer,,5,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Orthetrum taeniolatum,Animalia,SKIMMERS_LIBELLULIDAE,Small Skimmer,,4,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Orthetrum chrysostigma,Animalia,SKIMMERS_LIBELLULIDAE,Epaulet Skimmer,,4,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Lycaena thersamon,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Lesser Fiery Copper,,1,36.234,34.695,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Trithemis annulata,Animalia,SKIMMERS_LIBELLULIDAE,Violet Dropwing,,40,36.211,34.74,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Brachythemis impartita,Animalia,SKIMMERS_LIBELLULIDAE,Northern Banded Groundling,,100,36.211,34.74,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Pontia edusa,Animalia,WHITES_PIERIDAE,Eastern Bath White,,1,36.211,34.74,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-02,
Sympetrum meridionale,Animalia,SKIMMERS_LIBELLULIDAE,Southern Darter,,2,36.322,34.817,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-01,
Onychogomphus lefebvrii,Animalia,CLUBTAILS_GOMPHIDAE,Pale pincertail,,3,36.322,34.817,Asia,Syria,SY,,Syria - Homs (Hims),2010-06-01,
Acrida spec.,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,,,1,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Lycaena thersamon,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Lesser Fiery Copper,,3,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Aricia agestis,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Brown Argus,,1,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Libellula pontica,Animalia,SKIMMERS_LIBELLULIDAE,Red Chaser,,3,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Platycnemis dealbata,Animalia,WHITELEGGED_DAMSELFLIES_PLATYCNEMIDIDAE,Ivory Featherleg,,1,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Orthetrum coerulescens anceps,Animalia,SKIMMERS_LIBELLULIDAE,Keeled Skimmer (ssp. anceps),,2,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Anax imperator,Animalia,DARNERS_AESHNIDAE,Blue Emperor,,1,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
Sympetrum fonscolombii,Animalia,SKIMMERS_LIBELLULIDAE,Red-veined Darter,,1,36.39,35.007,Asia,Syria,SY,,Syria - Hamah,2010-06-01,
