scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Cinclus pallasii,Animalia,DIPPERS_CINCLIDAE,Brown Dipper,,2,68.38599645,39.08469334,Asia,Tajikistan,TJ,,Tajikistan,2017-09-14,15:44
Cyanistes cyanus,Animalia,TITS_PARIDAE,Azure Tit,,2,68.2922207034202,39.0638297921664,Asia,Tajikistan,TJ,,Tajikistan,2017-09-15,09:41
Aquila chrysaetos,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Golden Eagle,,1,68.2535302150648,39.0394640525515,Asia,Tajikistan,TJ,,Tajikistan,2017-09-16,12:59
Gypaetus barbatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bearded Vulture,,1,68.2534992646156,39.0395301144933,Asia,Tajikistan,TJ,,Tajikistan,2017-09-16,12:59
Hieraaetus pennatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Booted Eagle,,1,68.59341251922,38.4850341857399,Asia,Tajikistan,TJ,,Tajikistan,2017-09-18,10:51
Upupa epops,Animalia,HOOPOES_UPUPIDAE,Eurasian Hoopoe,,1,71.6107004922122,36.727571008227,Asia,Tajikistan,TJ,,Tajikistan,2017-09-22,16:15
Lanius schach,Animalia,SHRIKES_LANIIDAE,Long-tailed Shrike,,1,71.6107004922122,36.727571008227,Asia,Tajikistan,TJ,,Tajikistan,2017-09-22,16:15
Falco subbuteo,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Eurasian Hobby,,3,71.6067164456376,36.7303516268895,Asia,Tajikistan,TJ,,Tajikistan,2017-09-22,17:01
Streptopelia orientalis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Oriental Turtle Dove,,2,71.6067164456376,36.7303516268895,Asia,Tajikistan,TJ,,Tajikistan,2017-09-22,17:01
Bucanetes mongolicus,Animalia,FINCHES_FRINGILLIDAE,Mongolian Finch,,1,72.3102075247844,36.9897050776274,Asia,Tajikistan,TJ,,Tajikistan,2017-09-24,12:39
Alectoris chukar,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chukar Partridge,,4,72.3102075247844,36.9897050776274,Asia,Tajikistan,TJ,,Tajikistan,2017-09-24,12:39
Gypaetus barbatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bearded Vulture,,1,73.0816525612372,37.441398192313,Asia,Tajikistan,TJ,,Tajikistan,2017-09-26,10:52
Falco peregrinus babylonicus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon ssp babylonicus,,1,73.6553,37.8301,Asia,Tajikistan,TJ,,Tajikistan,2017-07-25,14:23
Alectoris chukar,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chukar Partridge,,1,72.3149,36.9893,Asia,Tajikistan,TJ,,Tajikistan,2017-07-23,09:56
Upupa epops,Animalia,HOOPOES_UPUPIDAE,Eurasian Hoopoe,,1,71.6113,36.7271,Asia,Tajikistan,TJ,,Tajikistan,2017-07-21,14:16
Lanius schach,Animalia,SHRIKES_LANIIDAE,Long-tailed Shrike,,1,71.6114,36.7271,Asia,Tajikistan,TJ,,Tajikistan,2017-07-21,14:16
Falco peregrinus babylonicus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon ssp babylonicus,,1,73.48212887,37.80329135,Asia,Tajikistan,TJ,,Tajikistan,2015-07-22,10:29
Falco peregrinus babylonicus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon ssp babylonicus,,1,72.70418226,37.82027534,Asia,Tajikistan,TJ,,Tajikistan,2015-07-26,07:14
