scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Cecropis domicella,Animalia,SWALLOWS_HIRUNDINIDAE,West African Swallow,,1,1.0993194580078,9.9884620959459,Africa,Togo,TG,,Togo,2009-12-31,
Lagonosticta senegala,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Red-billed Firefinch,,1,1.1418914794922,8.9810534774767,Africa,Togo,TG,,Togo,2009-12-28,
Zonocerus variegatus,Animalia,Pyrgomorphidae,Variegated grasshopper,,1,0.61471939086914,6.8962635684626,Africa,Togo,TG,,Togo,2009-12-25,
Argina  leonina,Animalia,EREBIDAE,,,1,0.61712265014648,6.89643398787,Africa,Togo,TG,,Togo,2009-12-25,
Chiasmia angolaria,Animalia,Geometridae,,,1,0.61712265014648,6.89643398787,Africa,Togo,TG,,Togo,2009-12-25,
Phylloscopus trochilus,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Willow Warbler,,1,1.38324737549,6.23032300053,Africa,Togo,TG,,Togo,2009-12-23,
Cypsiurus parvus,Animalia,SWIFTS_APODIDAE,African Palm Swift,,1,0.600128173828,7.58441164099,Africa,Togo,TG,,Togo,2009-12-26,
Buteo auguralis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Red-necked Buzzard,,1,1.13914489746,9.99995793564,Africa,Togo,TG,,Togo,2009-12-31,
Hirundo lucida,Animalia,SWALLOWS_HIRUNDINIDAE,Red-chested Swallow,,1,1.13914489746,9.99995793564,Africa,Togo,TG,,Togo,2009-12-31,
Turdoides plebejus,Animalia,Leiothrichidae,Brown Babbler,,1,1.13914489746,9.99995793564,Africa,Togo,TG,,Togo,2009-12-31,
Kaupifalco monogrammicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Lizard Buzzard,,1,1.13914489746,9.99995793564,Africa,Togo,TG,,Togo,2009-12-31,
Pycnonotus barbatus,Animalia,BULBULS_PYCNONOTIDAE,Common Bulbul,,1,0.615234375,6.89916069003,Africa,Togo,TG,,Togo,2009-12-25,
Aviceda cuculoides,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Cuckoo-Hawk,,1,0.615234375,6.89916069003,Africa,Togo,TG,,Togo,2009-12-25,
Necrosyrtes monachus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Hooded Vulture,,1,1.20849609375,9.53845761832,Africa,Togo,TG,,Togo,2009-12-29,
