scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Hippobroma longiflora,Plantae,CAMPANULACEAE,Madamfate,,1,-174.91627179,-21.31386306,Australia,Tonga,TO,,Tonga,2014-04-09,11:08
Pterodroma heraldica,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Herald Petrel,,1,-175.07087414,-21.76634661,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,16:08
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,2,-175.07001777,-21.6986487,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,16:32
Pterodroma cervicalis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,White-necked Petrel,,3,-176.10964212,-25.99605616,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-07,14:34
Pterodroma cookii,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Cook's Petrel,,1,-176.11010623,-25.99776278,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-07,14:33
Pterodroma nigripennis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Black-winged Petrel,,1,-175.07000624,-21.69051179,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,16:35
Pterodroma heraldica,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Herald Petrel,,1,-175.07008818,-21.67712171,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,16:40
Pterodroma heraldica,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Herald Petrel,,1,-175.07413774,-21.97838686,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,14:51
Pterodroma heraldica,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Herald Petrel,,1,-175.07008818,-21.67712171,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,16:40
Pterodroma nigripennis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Black-winged Petrel,,1,-175.07153294,-21.79062852,Australia,Tonga,TO,,Tonga - Pacific Ocean,2014-04-08,15:59
