scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,3,-61.694383623,10.1909149742,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Trinidad,2013-01-14,
Momotus bahamensis,Animalia,MOTMOTS_MOMOTIDAE,Trinidad Motmot,,1,-60.5406904212,11.3301927924,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-09-02,
Ameiva ameiva,Animalia,Teiidae,Giant Ameiva,,3,-60.5512690545,11.3200515785,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-09-01,
Boa constrictor,Animalia,Boidae,Boa Constrictor,,1,-60.5534148221,11.3161380684,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-31,
Pavo cristatus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Indian Peafowl,,3,-60.5480074874,11.3192310085,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-31,
Momotus bahamensis,Animalia,MOTMOTS_MOMOTIDAE,Trinidad Motmot,,1,-60.5016589156,11.2997049488,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-29,
Phaethon aethereus mesonauta,Animalia,TROPICBIRDS_PHAETHONTIDAE,Red-billed Tropicbird ssp mesonauta,,1,-60.4988479606,11.2985686931,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-29,
Ameiva ameiva,Animalia,Teiidae,Giant Ameiva,,1,-60.5036795135,11.3005396026,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-29,
Ameiva ameiva,Animalia,Teiidae,Giant Ameiva,,1,-60.5402326586,11.329659792,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-28,
Momotus bahamensis,Animalia,MOTMOTS_MOMOTIDAE,Trinidad Motmot,,1,-60.5512154103,11.3200259794,South America,Trinidad and Tobago,TT,,Trinidad and Tobago - Tabago,2013-08-25,
Tangara gyrola viridissima,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bay-headed Tanager ssp viridissima,,1,-61.2984180446,10.7175222136,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-25,06:00
Cyanerpes caeruleus longirostris,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Purple Honeycreeper ssp longirostris,,1,-61.2984180446,10.7175222136,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-25,06:00
Ramphastos vitellinus vitellinus,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Channel-billed Toucan ssp vitellinus,,1,-61.2984180446,10.7175222136,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-25,06:00
Mimus gilvus tobagensis,Animalia,THRASHERS_MIMIDAE,Tropical Mockingbird ssp tobagensis,,1,-61.2984180446,10.7175222136,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-25,06:00
Thraupis palmarum melanoptera,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Palm Tanager ssp melanoptera,,1,-61.2984180446,10.7175222136,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-25,06:00
Tangara gyrola viridissima,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bay-headed Tanager ssp viridissima,,10,-61.3102698317,10.7352900468,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-24,07:00
Thraupis palmarum melanoptera,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Palm Tanager ssp melanoptera,,2,-61.3102698317,10.7352900468,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-24,07:00
Tangara gyrola viridissima,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bay-headed Tanager ssp viridissima,,1,-61.2983644008,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-23,10:00
Mimus gilvus tobagensis,Animalia,THRASHERS_MIMIDAE,Tropical Mockingbird ssp tobagensis,,1,-61.2983644008,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-23,07:00
Ramphastos vitellinus vitellinus,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Channel-billed Toucan ssp vitellinus,,1,-61.2983644008,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-23,07:00
Cyanerpes caeruleus longirostris,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Purple Honeycreeper ssp longirostris,,1,-61.2983644008,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-23,07:00
Thraupis palmarum melanoptera,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Palm Tanager ssp melanoptera,,1,-61.2983644008,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-23,07:00
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,3,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Milvago chimachima,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Yellow-headed Caracara,,3,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Nycticorax nycticorax hoactli,Animalia,HERONS_ARDEIDAE,Black-crowned Night Heron ssp hoactli,,2,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Butorides striata striata,Animalia,HERONS_ARDEIDAE,Striated Heron ssp striata,,3,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Paroaria nigrogenis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Masked Cardinal,,3,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Anhinga anhinga anhinga,Animalia,ANHINGAS_ANHINGIDAE,Anhinga ssp anhinga,,2,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Cairina moschata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Muscovy Duck,,25,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Dendrocygna autumnalis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Black-bellied Whistling Duck,,25,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Dendrocygna bicolor,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Fulvous Whistling Duck,,1,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Porphyrio martinica,Animalia,RAILS_RALLIDAE,Purple Gallinule,,5,-61.4476346952,10.329443238,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,13:00
Tangara gyrola viridissima,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bay-headed Tanager ssp viridissima,,1,-61.2983447314,10.7174593135,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,09:00
Cyanerpes caeruleus longirostris,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Purple Honeycreeper ssp longirostris,,1,-61.2983447314,10.7174593135,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,07:00
Mimus gilvus tobagensis,Animalia,THRASHERS_MIMIDAE,Tropical Mockingbird ssp tobagensis,,1,-61.2983447314,10.7174593135,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,07:00
Thraupis palmarum melanoptera,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Palm Tanager ssp melanoptera,,1,-61.2983447314,10.7174593135,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-22,07:00
Ameiva ameiva,Animalia,Teiidae,Giant Ameiva,,2,-61.2976026537,10.7198048292,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-21,
Ramphastos vitellinus vitellinus,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Channel-billed Toucan ssp vitellinus,,2,-61.2983876468,10.7174224176,South America,Trinidad and Tobago,TT,,Trinidad and Tobago,2013-08-20,06:00
