scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Lanius excubitor algeriensis,Animalia,SHRIKES_LANIIDAE,Dark Desert Grey Shrike,,1,10.6292442977,35.843490327,Africa,Tunisia,TN,,Tunisia - Sousse,2014-10-17,
Utetheisa pulchella,Animalia,EREBIDAE,Crimson Speckled,,1,10.973575227,33.8628520537,Africa,Tunisia,TN,,Tunisia - Djerba,2010-10-27,15:40
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,1,10.9373509884,33.896636328,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-13,11:30
Saxicola rubicola,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Stonechat,,5,10.8964955807,33.8789661504,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Pluvialis squatarola,Animalia,PLOVERS_CHARADRIIDAE,Grey Plover,,3,10.8964955807,33.8789661504,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Circus aeruginosus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Western Marsh Harrier,,1,10.8964955807,33.8789661504,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Tringa nebularia,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Greenshank,,1,10.9064519405,33.8766858609,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Calidris alpina,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Dunlin,,30,10.9040486813,33.8766858609,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Anthus pratensis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Meadow Pipit,,5,10.9040486813,33.8766858609,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,100,10.9229314327,33.8849516205,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Charadrius alexandrinus,Animalia,PLOVERS_CHARADRIIDAE,Kentish Plover,,10,10.900799688,33.8798200065,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,10:00
Ardea alba,Animalia,HERONS_ARDEIDAE,Great Egret,,1,10.900799688,33.8798200065,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,10:00
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,5,10.900799688,33.8798200065,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-12,11:00
Saxicola rubicola,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Stonechat,,1,10.973240789,33.892075396,Africa,Tunisia,TN,,Tunisia - Djerba,2014-11-11,15:30
Charadrius alexandrinus,Animalia,PLOVERS_CHARADRIIDAE,Kentish Plover,,20,10.9387368523,33.8738341765,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-10,
Phylloscopus collybita,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Common Chiffchaff,,1,10.9737986885,33.8613267124,Africa,Tunisia,TN,,Tunisia - Djerba,2014-10-28,
Phylloscopus collybita collybita,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Common Chiffchaff ssp collybita,,1,10.9737986885,33.8613267124,Africa,Tunisia,TN,,Tunisia - Djerba,2014-10-28,
Sturnus unicolor,Animalia,STARLINGS_STURNIDAE,Spotless Starling,,8,10.9735715389,33.8626821224,Africa,Tunisia,TN,,Tunisia - Djerba,2014-11-10,08:00
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,30,10.9088551998,33.8818164266,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-08,10:30
Ardea alba,Animalia,HERONS_ARDEIDAE,Great Egret,,1,10.9088551998,33.8818164266,Africa,Tunisia,TN,,Tunisia - Djerba - Ras Rmel,2014-11-08,10:30
