scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,58.3505363464355,37.9521751403809,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,15:52
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,58.3546371459961,37.9538726806641,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,16:04
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,20,58.3420219421387,37.9128189086914,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,16:22
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,12,58.3339920043945,37.8908767700195,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,16:25
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,58.3121871948242,37.893196105957,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,18:14
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,3,58.3335075378418,37.8954811096191,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,18:17
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,58.341251373291,37.9116439819336,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,18:21
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,58.3777809143066,37.9343452453613,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-10-15,18:26
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,57.038818359375,38.4774932861328,Asia,Turkmenistan,TM,,Turkmenistan - Ahal,2019-06-15,13:57
Oenanthe isabellina,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Isabelline Wheatear,,1,55.2905807495117,38.072093963623,Asia,Turkmenistan,TM,,Turkmenistan - Balkan,2019-06-16,12:36
Oenanthe finschii,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Finsch's Wheatear,,1,54.6467781066895,40.6791954040527,Asia,Turkmenistan,TM,,Turkmenistan - Balkan,2019-06-17,17:26
Ammomanes deserti,Animalia,LARKS_ALAUDIDAE,Desert Lark,,1,54.64254761,40.66660309,Asia,Turkmenistan,TM,,Turkmenistan - Balkan,2019-06-18,07:59
Oenanthe finschii,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Finsch's Wheatear,,1,54.64331055,40.67175293,Asia,Turkmenistan,TM,,Turkmenistan - Balkan,2019-06-18,08:02
Chroicocephalus genei,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Slender-billed Gull,,1,52.9716987609863,39.9936408996582,Asia,Turkmenistan,TM,,Turkmenistan - Balkan,2019-06-18,16:12
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,58.3644218444824,37.9523086547852,Asia,Turkmenistan,TM,,Turkmenistan - Aşgabat City,2019-06-14,09:47
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,3,58.38568938,37.94157533,Asia,Turkmenistan,TM,,Turkmenistan,2017-12-15,13:57
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,58.36189269,37.95064102,Asia,Turkmenistan,TM,,Turkmenistan,2017-08-03,09:17
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,3,58.36575674,37.95300883,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,11:37
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,58.36972141,37.92577284,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,12:10
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,35,58.33374292,37.8829129,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,12:57
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,30,58.3853322,37.93930042,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,14:39
Sympecma gobica,Animalia,SPREADWINGS_LESTIDAE,,,1,58.38488053,37.9401496,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,14:50
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,58.36355759,37.94912176,Asia,Turkmenistan,TM,,Turkmenistan,2017-07-24,16:02
