scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Acontia trabealis,Animalia,Noctuidae,Spotted Sulphur,,1,33.946358718,46.4777511212,Europe,Ukraine,UA,,Ukraine - Chaplyns'kyi,2009-08-03,
Lycaena thersamon,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Lesser Fiery Copper,,1,34.7035570518,46.0853591332,Europe,Ukraine,UA,,Ukraine,2009-08-04,
Chazara persephone,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Great Steppe Grayling,,1,35.1988725439,44.9193791338,Europe,Ukraine,UA,,Ukraine - Sudats'ka,2009-08-05,
Hipparchia spec.,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,35.1988725439,44.9193791338,Europe,Ukraine,UA,,Ukraine - Sudats'ka,2009-08-05,
Brintesia circe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Great Banded Grayling,,1,35.15,44.9,Europe,Ukraine,UA,,Ukraine - Sudats'ka,2009-08-05,
Polyommatus ripartii,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Ripart's Anomalous Blue,,1,34.0470139757,44.4823397719,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Muschampia proto,Animalia,SKIPPERS_HESPERIIDAE,Sage Skipper,,1,34.0470139757,44.4823397719,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Polyommatus daphnis,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Meleager's Blue,,1,34.0470139757,44.4823397719,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Melanargia galathea,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Marbled White,,1,34.0470139757,44.4823397719,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Polyommatus damone,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,,,1,34.04701398,44.48233977,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Speyeria aglaja,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Dark Green Fritillary,,1,34.0420603752,44.4925793096,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Plebejus argyrognomon,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Reverdin's Blue,,1,34.0,44.45,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Melitaea didyma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Spotted Fritillary,,1,34.02489424,44.4960079,Europe,Ukraine,UA,,Ukraine - Bakhchysarais'kyi,2009-08-07,
Pseudochazara euxina,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,34.066092968,44.4597526356,Europe,Ukraine,UA,,Ukraine - Yaltinskiy Gorno-Lesnoy Nature Zapovednik,2009-08-07,
Centaurea montana,Plantae,Asteraceae,Perennial Cornflower,,1,34.3693616241,44.7767780483,Europe,Ukraine,UA,,Ukraine - Simferopol's'kyi,2013-06-12,
Erythromma lindenii,Animalia,POND_DAMSELS_COENAGRIONIDAE,Blue-eye,,1,32.3854100704,46.5605090922,Europe,Ukraine,UA,,Ukraine - Dnipro River Delta Ramsar site,2013-06-14,
Selysiothemis nigra,Animalia,SKIMMERS_LIBELLULIDAE,Black Pennant,,1,35.086684227,45.6130617925,Europe,Ukraine,UA,,Ukraine - Eastern Syvash Ramsar site,2013-06-06,
Sympetrum sanguineum,Animalia,SKIMMERS_LIBELLULIDAE,Ruddy Darter,,1,26.307220452,51.131552893,Europe,Ukraine,UA,,Ukraine - Sarnens'kyi,2014-07-27,
Muscicapa striata,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Spotted Flycatcher,,1,26.3137435843,51.1297143785,Europe,Ukraine,UA,,Ukraine - Sarnens'kyi,2014-07-27,
Motacilla alba,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,,1,26.3137435843,51.1297143785,Europe,Ukraine,UA,,Ukraine - Sarnens'kyi,2014-07-27,
Platycnemis pennipes,Animalia,WHITELEGGED_DAMSELFLIES_PLATYCNEMIDIDAE,Blue Featherleg,,1,26.307220452,51.131552893,Europe,Ukraine,UA,,Ukraine - Sarnens'kyi,2014-07-27,
