scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,2,-56.19386673,-34.91479244,South America,Uruguay,UY,,Uruguay,1996-04-21,
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,1,-56.19386673,-34.91479244,South America,Uruguay,UY,,Uruguay,1996-04-22,
Podiceps major major,Animalia,GREBES_PODICIPEDIDAE,Great Grebe ssp major,,1,-56.2191581796,-34.9132674866,South America,Uruguay,UY,,Uruguay,2013-02-25,
Haematopus palliatus palliatus,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,American Oystercatcher ssp palliatus,,4,-54.149837497389,-34.661451941266,South America,Uruguay,UY,,Uruguay,2013-02-23,
Colaptes campestris campestroides,Animalia,WOODPECKERS_PICIDAE,Campo Flicker ssp campestroides,,1,-54.1554451006,-34.6671372427,South America,Uruguay,UY,,Uruguay,2013-02-22,
Ciconia maguari,Animalia,STORKS_CICONIIDAE,Maguari Stork,,1,-53.794069288415,-34.400767478186,South America,Uruguay,UY,,Uruguay,2013-02-21,
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,5,-53.77595901,-34.40061167,South America,Uruguay,UY,,Uruguay,2013-02-21,
Zonotrichia capensis subtorquata,Animalia,PASSERELLIDAE,Rufous-collared Sparrow ssp subtorquata,,6,-57.8507709512,-34.4736324943,South America,Uruguay,UY,,Uruguay,2013-02-18,
Vanellus chilensis lampronotus,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing ssp lampronotus,,4,-54.155087471,-34.6677349292,South America,Uruguay,UY,,Uruguay,2013-02-22,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,2,-56.223068,-34.904044,South America,Uruguay,UY,,Uruguay,2012-04-24,08:08
Chroicocephalus maculipennis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown-hooded Gull,,10,-56.220801,-34.902898,South America,Uruguay,UY,,Uruguay,2012-04-24,08:10
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,100,-56.221109,-34.903099,South America,Uruguay,UY,,Uruguay,2012-04-24,08:10
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,2,-56.213951,-34.901292,South America,Uruguay,UY,,Uruguay,2012-04-24,10:27
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,2,-56.201604,-34.910634,South America,Uruguay,UY,,Uruguay,2012-04-24,13:54
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-56.201598,-34.910639,South America,Uruguay,UY,,Uruguay,2012-04-24,13:54
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,4,-56.172338,-34.920229,South America,Uruguay,UY,,Uruguay,2012-04-24,17:21
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,4,-56.172338,-34.920229,South America,Uruguay,UY,,Uruguay,2012-04-24,
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,2,-56.201604,-34.910634,South America,Uruguay,UY,,Uruguay,2012-04-24,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,2,-56.223068,-34.904044,South America,Uruguay,UY,,Uruguay,2012-04-24,
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,100,-56.221109,-34.903099,South America,Uruguay,UY,,Uruguay,2012-04-24,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,2,-56.223068,-34.904044,South America,Uruguay,UY,,Uruguay,2012-04-24,08:08
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,100,-56.221109,-34.903099,South America,Uruguay,UY,,Uruguay,2012-04-24,08:10
Chroicocephalus maculipennis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown-hooded Gull,,10,-56.220801,-34.902898,South America,Uruguay,UY,,Uruguay,2012-04-24,08:10
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,2,-56.213951,-34.901292,South America,Uruguay,UY,,Uruguay,2012-04-24,10:27
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,2,-56.201604,-34.910634,South America,Uruguay,UY,,Uruguay,2012-04-24,13:54
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-56.201598,-34.910639,South America,Uruguay,UY,,Uruguay,2012-04-24,13:54
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,4,-56.172338,-34.920229,South America,Uruguay,UY,,Uruguay,2012-04-24,17:21
Podiceps major,Animalia,GREBES_PODICIPEDIDAE,Great Grebe,,1,-57.8944358826,-34.4381276477,South America,Uruguay,UY,,Uruguay,2010-05-12,
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,2,-56.1215171814,-34.9045812637,South America,Uruguay,UY,,Uruguay,2010-05-12,
Chroicocephalus maculipennis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown-hooded Gull,,10,-56.1215171814,-34.9045812637,South America,Uruguay,UY,,Uruguay,2010-05-12,
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,10,-56.1215171814,-34.9045812637,South America,Uruguay,UY,,Uruguay,2010-05-12,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-56.1215171814,-34.9045812637,South America,Uruguay,UY,,Uruguay,2010-05-12,
Rupornis magnirostris,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Roadside Hawk,,1,-57.8445625305,-34.4556864168,South America,Uruguay,UY,,Uruguay,2010-05-11,
Charadrius collaris,Animalia,PLOVERS_CHARADRIIDAE,Collared Plover,,1,-57.8445625305,-34.4556864168,South America,Uruguay,UY,,Uruguay,2010-05-12,
Didelphis albiventris,Animalia,OPOSSUMS_DIDELPHIDAE,White-eared Opossum,,1,-56.8834648132324,-31.014217376709,South America,Uruguay,UY,,Uruguay - Salto,2020-02-02,13:42
Lycalopex gymnocercus,Animalia,DOGS_CANIDAE,Pampas Fox,,1,-56.7118301391602,-30.7113399505615,South America,Uruguay,UY,,Uruguay - Artigas,2020-02-02,14:50
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,1,-56.1306381225586,-34.9042587280273,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-13,09:58
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-56.1331787109375,-34.9073104858398,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-04,08:04
Podiceps major,Animalia,GREBES_PODICIPEDIDAE,Great Grebe,,1,-56.0795402526855,-34.8987655639648,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-04,08:23
Myiopsitta monachus,Animalia,PARROTS_PSITTACIDAE,Monk Parakeet,,1,-56.2023735046387,-34.9067001342773,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-03,12:10
Parabuteo unicinctus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Harris's Hawk,,1,-56.2597618103027,-34.8885955810547,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-03,14:00
Nycticorax nycticorax,Animalia,HERONS_ARDEIDAE,Black-crowned Night Heron,,1,-56.1693115234375,-34.9218254089355,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-03,16:57
Zonotrichia capensis,Animalia,PASSERELLIDAE,Rufous-collared Sparrow,,1,-56.1689109802246,-34.9228630065918,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-03,17:10
Larus dominicanus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kelp Gull,,1,-56.1690559387207,-34.9254264831543,South America,Uruguay,UY,,Uruguay - Montevideo,2019-08-03,17:48
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,4,-56.172338,-34.920229,South America,Uruguay,UY,,Uruguay,2012-04-24,
