scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,1,69.0849683285,40.5300997325,Asia,Uzbekistan,UZ,,Uzbekistan,2009-09-28,
Calopteryx samarcandica,Animalia,BROADWINGED_DAMSELS_CALOPTERYGIDAE,,,10,67.1279483985,39.2760893535,Asia,Uzbekistan,UZ,,Uzbekistan,2009-10-05,
Argynnis pandora,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Cardinal,,1,69.0889006804,40.5323078978,Asia,Uzbekistan,UZ,,Uzbekistan,2009-09-28,
Sympecma gobica,Animalia,SPREADWINGS_LESTIDAE,,,2,69.0918189238,40.5349865452,Asia,Uzbekistan,UZ,,Uzbekistan,2009-09-28,
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,10,69.0918189238,40.5349865452,Asia,Uzbekistan,UZ,,Uzbekistan,2009-09-28,
Decticus verrucivorus,Animalia,KATYDIDS_TETTIGONIIDAE,Wart-Biter,,5,69.95,41.45,Asia,Uzbekistan,UZ,,Uzbekistan - Ugam-Chatkal NP,2009-09-27,
Sympetrum arenicolor,Animalia,SKIMMERS_LIBELLULIDAE,Sandy Darter,,1,69.0860948563,40.5308010252,Asia,Uzbekistan,UZ,,Uzbekistan,2009-09-28,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,64.4354404975329,39.828030173703866,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-11,08:06
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,64.43432461476367,39.79977544866483,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-11,08:02
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,3,64.53717702074398,39.802472912743504,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-10,10:25
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,5,64.42749187056249,39.77466269926097,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-10,09:18
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,64.39969645819104,39.77543876044431,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-09,09:22
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,64.43122991156919,39.77216570639116,Asia,Uzbekistan,UZ,,Uzbekistan - Buxoro Viloyati,2019-08-09,09:12
