scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,10,167.49981488,-13.51015469,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,17:49
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,15,167.49981488,-13.51015469,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,17:49
Anous minutus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black Noddy,,30,167.49981488,-13.51015469,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,15:45
Ardenna pacifica,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Wedge-tailed Shearwater,,20,167.59070719,-13.53418026,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,10:51
Ardenna tenuirostris,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Short-tailed Shearwater,,2,171.06524807,-18.02654423,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-21,11:19
Stercorarius parasiticus,Animalia,SKUAS_STERCORARIIDAE,Parasitic Jaeger,,1,171.06524807,-18.02654423,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-21,10:34
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,173.5919527,-18.17612542,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-20,17:54
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,173.65340858,-18.17971776,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-20,17:08
Stercorarius longicaudus,Animalia,SKUAS_STERCORARIIDAE,Long-tailed Jaeger,,1,171.03515625,-17.6021391234,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-21,09:26
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,169.90574679,-17.9641637,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,17:04
Ardenna tenuirostris,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Short-tailed Shearwater,,20,169.89844395,-17.96678794,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,17:29
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,169.89697236,-17.96729459,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,17:33
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,169.89377011,-17.96631516,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,17:46
Ardenna tenuirostris,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Short-tailed Shearwater,,7,169.89854375,-17.96513037,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,17:50
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,1,169.80467762,-17.95452215,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,18:31
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,1,169.79880688,-17.95379119,Australia,Vanuatu,VU,,Vanuatu,2014-04-21,18:33
Collocalia uropygialis uropygialis,Animalia,SWIFTS_APODIDAE,Satin Swiftlet ssp uropygialis,,1,168.31541332,-17.73909295,Australia,Vanuatu,VU,,Vanuatu,2014-04-22,10:03
Collocalia uropygialis uropygialis,Animalia,SWIFTS_APODIDAE,Satin Swiftlet ssp uropygialis,,25,168.53844028,-16.8953003,Australia,Vanuatu,VU,,Vanuatu,2014-04-23,12:50
Ardenna tenuirostris,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Short-tailed Shearwater,,70,167.9499126,-16.42975969,Australia,Vanuatu,VU,,Vanuatu,2014-04-24,13:40
Ardenna tenuirostris,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Short-tailed Shearwater,,12,167.92629169,-16.39516697,Australia,Vanuatu,VU,,Vanuatu,2014-04-24,13:55
Pterodroma brevipes magnificens,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel ssp magnificens,,1,167.72219541,-16.02499003,Australia,Vanuatu,VU,,Vanuatu,2014-04-24,16:27
Pterodroma brevipes magnificens,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel ssp magnificens,,9,167.70227943,-15.97859787,Australia,Vanuatu,VU,,Vanuatu,2014-04-24,16:46
Pterodroma brevipes magnificens,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel ssp magnificens,,3,167.66105636,-15.89613905,Australia,Vanuatu,VU,,Vanuatu,2014-04-24,17:26
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,30,167.59076826,-13.53423356,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,09:59
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,5,167.59070719,-13.53418026,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,10:00
Ziphius cavirostris,Animalia,BEAKED_WHALES_ZIPHIIDAE,Cuvier's Beaked Whale,,3,167.49981488,-13.51015469,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,15:14
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,20,167.49981488,-13.51015469,Australia,Vanuatu,VU,,Vanuatu,2014-04-26,15:14
Globicephala macrorhynchus,Animalia,DOLPHINS_DELPHINIDAE,Short-finned Pilot Whale,,6,167.31076466,-13.88003902,Australia,Vanuatu,VU,,Vanuatu,2014-04-27,17:17
Pterodroma occulta,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Vanuatu Petrel,,4,167.31037803,-13.87961706,Australia,Vanuatu,VU,,Vanuatu,2014-04-27,17:17
Zosterops lateralis,Animalia,WHITEEYES_ZOSTEROPIDAE,Silvereye,,3,167.2098153179206,-15.436199340052378,Australia,Vanuatu,VU,,Vanuatu - Sanma,2019-08-09,08:54
Dugong dugon,Animalia,DUGONGS_DUGONGIDAE,Dugong,,2,167.22015381,-15.43250088,Australia,Vanuatu,VU,,Vanuatu - Sanma,2019-08-09,10:54
Trichoglossus moluccanus,Animalia,PSITTACULIDAE,Rainbow Lorikeet,,1,168.18222166667,-15.900833333333,Australia,Vanuatu,VU,,Vanuatu,2018-06-10,07:56
Sula sula rubripes,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby ssp rubripes,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanites oceanicus oceanicus,Animalia,OCEANITIDAE,Wilson's Storm Petrel ssp oceanicus,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanites oceanicus oceanicus,Animalia,OCEANITIDAE,Wilson's Storm Petrel ssp oceanicus,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanites oceanicus oceanicus,Animalia,OCEANITIDAE,Wilson's Storm Petrel ssp oceanicus,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanodroma castro,Animalia,STORM_PETRELS_HYDROBATIDAE,Band-rumped Storm Petrel,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanites oceanicus oceanicus,Animalia,OCEANITIDAE,Wilson's Storm Petrel ssp oceanicus,,1,160.568846762,-14.1664043547,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Oceanites oceanicus oceanicus,Animalia,OCEANITIDAE,Wilson's Storm Petrel ssp oceanicus,,1,160.825195201,-13.4152686296,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Sula sula rubripes,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby ssp rubripes,,1,160.825195201,-13.4152686296,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Phaethon lepturus dorotheae,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird ssp dorotheae,,1,160.825195201,-13.4152686296,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-16,
Phaethon lepturus dorotheae,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird ssp dorotheae,,1,161.5,-17.0,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2015-04-15,
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,173.65340858,-18.17971776,Australia,Vanuatu,VU,,Vanuata - Vanuata and Ocean,2014-04-20,17:08
