scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Delphinus capensis,Animalia,DOLPHINS_DELPHINIDAE,Long-beaked Common Dolphin,,4,-64.402771,10.38307471,South America,Venezuela,VE,,Venezuela - Mochima NP,2011-11-26,
Falco femoralis,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Aplomado Falcon,,2,-67.9580796443128,10.2729142007634,South America,Venezuela,VE,,Venezuela - Montalbán,2014-07-27,16:29
Falco femoralis,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Aplomado Falcon,,1,-67.9580660853728,10.2729712785602,South America,Venezuela,VE,,Venezuela - Montalbán,2014-06-21,15:03
Buteogallus urubitinga,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Great Black Hawk,,1,-67.9714320973,10.2460058394,South America,Venezuela,VE,,Venezuela - Valencia,2014-05-18,07:00
Gampsonyx swainsonii,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Pearl Kite,,1,-67.9664142192,10.2421908073,South America,Venezuela,VE,,Venezuela - Valencia,2014-05-18,08:53
Buteogallus urubitinga,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Great Black Hawk,,2,-67.9644486950271,10.2405854814916,South America,Venezuela,VE,,Venezuela - Valencia,2014-05-11,08:36
Buteogallus urubitinga,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Great Black Hawk,,3,-67.9750151932,10.2697387596,South America,Venezuela,VE,,Venezuela - Montalbán,2014-03-30,15:00
Elanus leucurus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,White-tailed Kite,,5,-67.9668036103,10.2480329198,South America,Venezuela,VE,,Venezuela - Valencia,2011-11-14,13:00
Harpagus bidentatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Double-toothed Kite,,1,-67.9728265107,10.250228909,South America,Venezuela,VE,,Venezuela - Valencia,2014-03-09,11:00
Harpagus bidentatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Double-toothed Kite,,1,-67.9745184816,10.2538290314,South America,Venezuela,VE,,Venezuela - Valencia,2014-03-04,03:00
Buteo brachyurus brachyurus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Short-tailed Hawk ssp brachyurus,,1,-67.9569330812,10.227339198,South America,Venezuela,VE,,Venezuela - Valencia,2014-01-10,05:00
Gampsonyx swainsonii,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Pearl Kite,,2,-70.209524,11.63537,South America,Venezuela,VE,,Venezuela - Carirubana,2014-01-04,09:47
Falco sparverius,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,American Kestrel,,1,-67.96135,10.267799,South America,Venezuela,VE,,Venezuela - Montalbán,2013-11-18,07:30
Cathartes aura ruficollis,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Turkey Vulture ssp ruficollis,,1,-67.9623412527,10.2321907299,South America,Venezuela,VE,,Venezuela - Valencia,2013-11-10,
