scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Emberiza socotrana,Animalia,BUNTINGS_EMBERIZIDAE,Socotra Bunting,,2,53.9977849647,12.5311567023,Asia,Yemen,YE,,Yemen,2009-02-26,
Tursiops truncatus,Animalia,DOLPHINS_DELPHINIDAE,Common Bottlenose Dolphin,,10,53.3939570189,12.5902480442,Asia,Yemen,YE,,Yemen,2009-03-01,
Pachysmopoda abbreviata,Animalia,KATYDIDS_TETTIGONIIDAE,,,2,53.4703803621,12.659238945,Asia,Yemen,YE,,Yemen,2009-02-28,
Pachysmopoda abbreviata,Animalia,KATYDIDS_TETTIGONIIDAE,,,20,53.9926886838,12.6060166172,Asia,Yemen,YE,,Yemen,2009-02-22,
Hakaria simonyi,Animalia,Scincidae,,,1,53.4703231975,12.6593278415,Asia,Yemen,YE,,Yemen,2009-02-28,
Caprimulgus aegyptius,Animalia,NIGHTJARS_CAPRIMULGIDAE,Egyptian Nightjar,,1,54.5310170017,12.5524585051,Asia,Yemen,YE,,Yemen,2010-11-03,
Milvus migrans,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Black Kite,,1,54.0113229118,12.6487602363,Asia,Yemen,YE,,Yemen,2010-11-03,
Puffinus persicus,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Persian Shearwater,,10,53.3951586485,12.6431831876,Asia,Yemen,YE,,Yemen,2010-10-28,
Passer insularis,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Socotra Sparrow,,10,54.3540718406,12.5881561563,Asia,Yemen,YE,,Yemen,2009-03-04,
Anthus similis sokotrae,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Long-billed Pipit ssp sokotrae,,1,53.4002137743,12.57641298,Asia,Yemen,YE,,Yemen,2009-03-31,
Sphingonotus ganglbaueri,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,,,1,53.4990960918,12.6980932935,Asia,Yemen,YE,,Yemen,2009-02-28,
Phalacrocorax nigrogularis,Animalia,CORMORANTS_PHALACROCORACIDAE,Socotra Cormorant,,300,53.3956005424,12.5759676991,Asia,Yemen,YE,,Yemen,2009-03-01,
Stenella longirostris,Animalia,DOLPHINS_DELPHINIDAE,Spinner Dolphin,,1,53.4622782469,12.6830448223,Asia,Yemen,YE,,Yemen,2009-03-01,
Glomeremus mediopictus,Animalia,Gryllacrididae,,,2,53.4699619375,12.6588411598,Asia,Yemen,YE,,Yemen,2009-02-28,
Otus socotranus,Animalia,OWLS_STRIGIDAE,Socotra Scops Owl,,1,53.4699619375,12.6588411598,Asia,Yemen,YE,,Yemen,2009-02-28,
Buteo socotraensis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Socotra Buzzard,,1,53.9699757379,12.6423351819,Asia,Yemen,YE,,Yemen,2009-02-27,
Otus socotranus,Animalia,OWLS_STRIGIDAE,Socotra Scops Owl,,1,53.9926994126,12.6059904417,Asia,Yemen,YE,,Yemen,2009-02-22,
Pachysmopoda abbreviata,Animalia,KATYDIDS_TETTIGONIIDAE,,,5,53.9926994126,12.6059904417,Asia,Yemen,YE,,Yemen,2009-02-22,
